,FLAT_v1_started_FLAT_v1_won,ZERO_v1_started_FLAT_v1_won,FLAT_v1_started_Tie,ZERO_v1_started_Tie,FLAT_v1_started_ZERO_v1_won,ZERO_v1_started_ZERO_v1_won
0,9.0,,,,,
1,,,,,,19.0
2,,,,,,29.0
3,,,,,,33.0
4,,,,,,31.0
5,,,,,,21.0
6,,,,,,25.0
7,,,,,24.0,
8,,,,,34.0,
9,,,,,24.0,
10,,,,,28.0,
11,,,,,,21.0
12,,,,,40.0,
13,,,,,42.0,
14,,,,,44.0,
15,,,,,30.0,
16,,,,,,65.0
17,,,,,,39.0
18,,,,,,33.0
19,19.0,,,,,
20,,,,,22.0,
21,,,,,54.0,
22,,,,,,41.0
23,,,,,30.0,
24,,,,,,51.0
25,,,,,,21.0
26,,,,,,45.0
27,,,,,,35.0
28,,,,,44.0,
29,,,,,,21.0
30,,,,,30.0,
31,,,,,,21.0
32,,,,,32.0,
33,,,,,28.0,
34,,,,,,37.0
35,,,,,36.0,
36,,,,,,13.0
37,,,,,80.0,
38,,,,,22.0,
39,,,,,44.0,
40,,,,,,41.0
41,,,,,16.0,
42,,,,,30.0,
43,,,,,34.0,
44,15.0,,,,,
45,,,,,,17.0
46,,,,,,35.0
47,,,,,,25.0
48,25.0,,,,,
49,,,,,,29.0
