,ZERO_v4_started_ZERO_v4_won,ZEROX_v4_started_ZERO_v4_won,ZERO_v4_started_Tie,ZEROX_v4_started_Tie,ZERO_v4_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,15.0,,,,,
1,17.0,,,,,
2,,,,,,25.0
3,13.0,,,,,
4,,,,,,29.0
5,,,,,,25.0
6,17.0,,,,,
7,31.0,,,,,
8,21.0,,,,,
9,19.0,,,,,
10,,,,,,13.0
11,,,,,,19.0
12,31.0,,,,,
13,,,,,,21.0
14,,,,,,23.0
15,,,,,,11.0
16,11.0,,,,,
17,17.0,,,,,
18,,,,,,21.0
19,,,,,,21.0
20,,,,,,23.0
21,13.0,,,,,
22,19.0,,,,,
23,25.0,,,,,
24,,,,,,17.0
25,27.0,,,,,
26,15.0,,,,,
27,,,,,,19.0
28,,,,,,23.0
29,,,,,,17.0
30,,,,,,15.0
31,,,,,,13.0
32,,22.0,,,,
33,13.0,,,,,
34,,,,,,21.0
35,15.0,,,,,
36,,,,,,31.0
37,,,,,,43.0
38,13.0,,,,,
39,,,,,30.0,
40,,,,,,29.0
41,13.0,,,,,
42,15.0,,,,,
43,,,,,,13.0
44,35.0,,,,,
45,9.0,,,,,
46,31.0,,,,,
47,19.0,,,,,
48,15.0,,,,,
49,23.0,,,,,
