,FLAT_v3_started_FLAT_v3_won,UCT_10000_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_10000_started_Tie,FLAT_v3_started_UCT_10000_won,UCT_10000_started_UCT_10000_won
0,,,,,,21.0
1,,16.0,,,,
2,,,,,10.0,
3,15.0,,,,,
4,9.0,,,,,
5,,,,,,15.0
6,,,,,,15.0
7,,,,,,11.0
8,,,,,,15.0
9,,,,,,9.0
10,,,,,12.0,
11,,,,,,19.0
12,,,,,,13.0
13,,,,,,15.0
14,,,,,,9.0
15,19.0,,,,,
16,,,,,,9.0
17,9.0,,,,,
18,9.0,,,,,
19,,,,,,15.0
20,9.0,,,,,
21,9.0,,,,,
22,,,,,20.0,
23,9.0,,,,,
24,,,,,14.0,
25,,,,,,15.0
26,13.0,,,,,
27,,10.0,,,,
28,,,,,,9.0
29,,,,,,11.0
30,,,,,,9.0
31,,,,,,15.0
32,,,,,,9.0
33,,,,,,9.0
34,,,,,26.0,
35,,,,,,9.0
36,,,,,,19.0
37,,,,,,9.0
38,9.0,,,,,
39,,,,,14.0,
40,,,,,,9.0
41,15.0,,,,,
42,,,,,,11.0
43,,,,,,11.0
44,,,,,18.0,
45,,,,,,9.0
46,,,,,,11.0
47,,,,,12.0,
48,,,,,14.0,
49,,,,,,13.0
