,FLAT_v3_started_FLAT_v3_won,UCT_6000_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_6000_started_Tie,FLAT_v3_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,16.0,
1,,,,,18.0,
2,17.0,,,,,
3,,,,,12.0,
4,,,,,,15.0
5,,,,,22.0,
6,11.0,,,,,
7,23.0,,,,,
8,15.0,,,,,
9,,,,,,13.0
10,,16.0,,,,
11,,,,,16.0,
12,9.0,,,,,
13,,10.0,,,,
14,,,,,12.0,
15,,,,,14.0,
16,,,,,16.0,
17,,,,,,11.0
18,,,,,,29.0
19,,,,,,11.0
20,,,,,,9.0
21,,,,,16.0,
22,9.0,,,,,
23,9.0,,,,,
24,11.0,,,,,
25,,,,,,19.0
26,,,,,12.0,
27,,20.0,,,,
28,9.0,,,,,
29,,,,,,9.0
30,19.0,,,,,
31,15.0,,,,,
32,15.0,,,,,
33,,,,,,11.0
34,,,,,,15.0
35,,,,,,9.0
36,,,,,,15.0
37,,,,,,13.0
38,,10.0,,,,
39,,,,,,11.0
40,,,,,18.0,
41,11.0,,,,,
42,,10.0,,,,
43,19.0,,,,,
44,9.0,,,,,
45,15.0,,,,,
46,,,,,,11.0
47,,,,,,9.0
48,15.0,,,,,
49,,,,,,9.0
