,ZEROX_v5_started_ZEROX_v5_won,UCT_10000_started_ZEROX_v5_won,ZEROX_v5_started_Tie,UCT_10000_started_Tie,ZEROX_v5_started_UCT_10000_won,UCT_10000_started_UCT_10000_won
0,9.0,,,,,
1,9.0,,,,,
2,9.0,,,,,
3,,,,,,17.0
4,,,,,16.0,
5,,,,,16.0,
6,9.0,,,,,
7,,,,,16.0,
8,,,,,20.0,
9,9.0,,,,,
10,,16.0,,,,
11,9.0,,,,,
12,,32.0,,,,
13,9.0,,,,,
14,,,,,,25.0
15,,,,,,23.0
16,,,,,14.0,
17,,10.0,,,,
18,,10.0,,,,
19,,20.0,,,,
20,,,,,,15.0
21,,,,,,35.0
22,,,,,,11.0
23,9.0,,,,,
24,,18.0,,,,
25,,,,,,21.0
26,,,,,,23.0
27,,,,,,19.0
28,,,,,14.0,
29,,,,,,21.0
30,9.0,,,,,
31,9.0,,,,,
32,,,,,,19.0
33,,,,,,13.0
34,,,,,,25.0
35,,,,,14.0,
36,,,,,16.0,
37,,10.0,,,,
38,,,,,16.0,
39,9.0,,,,,
40,,,,,,15.0
41,,16.0,,,,
42,9.0,,,,,
43,,10.0,,,,
44,,,,,,11.0
45,,,,,12.0,
46,,16.0,,,,
47,,,,,38.0,
48,,,,,20.0,
49,,,,,,23.0
