,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v4_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v4_started_Tie,ZEROX_v1_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,14.0,
1,,,,,,13.0
2,,,,,18.0,
3,,,,,,9.0
4,,,,,,21.0
5,,,,,,11.0
6,,,,,,15.0
7,,,,,,15.0
8,17.0,,,,,
9,,,,,,17.0
10,,,,,,13.0
11,,,,,,11.0
12,,,,,,25.0
13,,22.0,,,,
14,,,,,,9.0
15,15.0,,,,,
16,,,,,,21.0
17,,,,,,13.0
18,,,,,,13.0
19,,,,,,13.0
20,,,,,22.0,
21,,,,,14.0,
22,,,,,,15.0
23,,,,,10.0,
24,25.0,,,,,
25,,,,,,11.0
26,,,,,,15.0
27,,,,,14.0,
28,,,,,,15.0
29,,,,,12.0,
30,,,,,,17.0
31,,,,,24.0,
32,,,,,12.0,
33,,,,,16.0,
34,,,,,,9.0
35,,,,,,19.0
36,,,,,,21.0
37,,,,,,11.0
38,,,,,,13.0
39,,,,,,17.0
40,,,,,,35.0
41,,,,,,13.0
42,,,,,,17.0
43,,,,,,15.0
44,,,,,16.0,
45,,,,,12.0,
46,,,,,,13.0
47,,,,,,17.0
48,,,,,,9.0
49,,,,,22.0,
