,ZEROX_v1_started_ZEROX_v1_won,UCT_6000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_6000_started_Tie,ZEROX_v1_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,16.0,
1,,,,,,9.0
2,,,,,12.0,
3,,,,,,11.0
4,15.0,,,,,
5,,,,,,15.0
6,,,,,16.0,
7,,,,,12.0,
8,,,,,12.0,
9,,10.0,,,,
10,,,,,12.0,
11,13.0,,,,,
12,,,,,,9.0
13,,10.0,,,,
14,,,,,,11.0
15,,,,,12.0,
16,,12.0,,,,
17,,,,,,17.0
18,11.0,,,,,
19,,10.0,,,,
20,,,,,,13.0
21,13.0,,,,,
22,,,,,,9.0
23,,18.0,,,,
24,,,,,,11.0
25,,,,,14.0,
26,,,,,14.0,
27,,,,,18.0,
28,,,,,,19.0
29,,10.0,,,,
30,,,,,22.0,
31,13.0,,,,,
32,,,,,22.0,
33,,,,,,11.0
34,,,,,,31.0
35,,,,,12.0,
36,,,,,12.0,
37,,,,,14.0,
38,11.0,,,,,
39,,,,,12.0,
40,,,,,,25.0
41,21.0,,,,,
42,,,,,12.0,
43,,,,,,9.0
44,,,,,14.0,
45,,,,,,17.0
46,,,,,10.0,
47,,,,,,17.0
48,,10.0,,,,
49,15.0,,,,,
