,ZEROX_v4_started_ZEROX_v4_won,ZEROX_v5_started_ZEROX_v4_won,ZEROX_v4_started_Tie,ZEROX_v5_started_Tie,ZEROX_v4_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,27.0,,,,,
1,,,,,,9.0
2,,,,,,11.0
3,19.0,,,,,
4,,,,,,11.0
5,,,,,,11.0
6,23.0,,,,,
7,17.0,,,,,
8,,,,,,23.0
9,27.0,,,,,
10,,,,,,9.0
11,25.0,,,,,
12,,,,,14.0,
13,,,,,,23.0
14,,,,,,9.0
15,,,,,,9.0
16,,,,,,9.0
17,,,,,,9.0
18,,,,,,13.0
19,,,,,,9.0
20,,,,,,9.0
21,,,,,36.0,
22,,,,,24.0,
23,,,,,,9.0
24,,,,,20.0,
25,17.0,,,,,
26,,,,,,9.0
27,,,,,,21.0
28,,,,,,11.0
29,,,,,,21.0
30,,,,,,11.0
31,,,,,,9.0
32,,,,,,11.0
33,,,,,,15.0
34,,,,,,9.0
35,,,,,,11.0
36,49.0,,,,,
37,,,,,10.0,
38,,,,,,9.0
39,,,,,32.0,
40,,,,,26.0,
41,19.0,,,,,
42,,,,,,13.0
43,,,,,26.0,
44,43.0,,,,,
45,,,,,,11.0
46,,,,,,9.0
47,,,,,,9.0
48,39.0,,,,,
49,,,,,,9.0
