[2023-11-28 11:35:35,055] File ./models_wzno/best.h5 does not exist
[2023-11-28 11:37:59,492] Epoch 89, Loss 19.938581466674805
[2023-11-28 11:37:59,834] Epoch 90, Loss 0.5287636518478394
[2023-11-28 11:38:00,537] Epoch 91, Loss 18.385295867919922
[2023-11-28 11:38:02,116] Epoch 92, Loss 27.617464065551758
[2023-11-28 11:38:02,557] Epoch 93, Loss 0.2901068329811096
[2023-11-28 11:38:05,406] Epoch 94, Loss 71.35794067382812
[2023-11-28 11:38:06,340] Epoch 95, Loss 0.3687386214733124
[2023-11-28 11:38:08,534] Epoch 96, Loss 1.4382071495056152
[2023-11-28 11:38:10,300] Epoch 97, Loss 18.810867309570312
[2023-11-28 11:38:10,733] Epoch 98, Loss 0.22233279049396515
[2023-11-28 11:38:11,556] Epoch 99, Loss 17.620399475097656
[2023-11-28 11:38:14,117] Epoch 100, Loss 54.407814025878906
[2023-11-28 11:38:14,117] Saved model at ./models_wzno/epoch_100.h5
[2023-11-28 11:38:14,581] Epoch 101, Loss 0.2999207675457001
[2023-11-28 11:38:16,196] Epoch 102, Loss 35.46189880371094
[2023-11-28 11:38:16,568] Epoch 103, Loss 0.1701701581478119
[2023-11-28 11:38:18,424] Epoch 104, Loss 18.532094955444336
[2023-11-28 11:38:20,197] Epoch 105, Loss 0.9160261750221252
[2023-11-28 11:38:20,712] Epoch 106, Loss 0.43641406297683716
[2023-11-28 11:38:22,409] Epoch 107, Loss 1.4731820821762085
[2023-11-28 11:38:22,958] Epoch 108, Loss 10.09206485748291
[2023-11-28 11:38:23,648] Epoch 109, Loss 9.63043212890625
[2023-11-28 11:38:24,523] Epoch 110, Loss 0.4098777770996094
[2023-11-28 11:38:27,663] Epoch 111, Loss 20.620357513427734
[2023-11-28 11:38:28,089] Epoch 112, Loss 0.27045559883117676
[2023-11-28 11:38:28,459] Epoch 113, Loss 0.2549349367618561
[2023-11-28 11:38:29,781] Epoch 114, Loss 2.1165266036987305
[2023-11-28 11:38:32,250] Epoch 115, Loss 1.606642246246338
[2023-11-28 11:38:34,575] Epoch 116, Loss 19.401763916015625
[2023-11-28 11:38:35,140] Epoch 117, Loss 0.4209575951099396
[2023-11-28 11:38:36,808] Epoch 118, Loss 18.88851547241211
[2023-11-28 11:38:39,453] Epoch 119, Loss 2.0479373931884766
[2023-11-28 11:38:39,829] Epoch 120, Loss 0.2124858796596527
[2023-11-28 11:38:41,513] Epoch 121, Loss 35.455230712890625
[2023-11-28 11:38:43,239] Epoch 122, Loss 27.44023323059082
[2023-11-28 11:38:45,307] Epoch 123, Loss 1.6181280612945557
[2023-11-28 11:38:48,910] Epoch 124, Loss 21.621198654174805
[2023-11-28 11:38:49,286] Epoch 125, Loss 0.08826249837875366
[2023-11-28 11:38:50,242] Epoch 126, Loss 0.2920755445957184
[2023-11-28 11:38:51,389] Epoch 127, Loss 0.483211874961853
[2023-11-28 11:38:52,366] Epoch 128, Loss 1.4798076152801514
[2023-11-28 11:38:52,766] Epoch 129, Loss 0.02395908534526825
[2023-11-28 11:38:53,870] Epoch 130, Loss 20.67279624938965
[2023-11-28 11:38:55,100] Epoch 131, Loss 1.8368229866027832
[2023-11-28 11:38:58,710] Epoch 132, Loss 20.262958526611328
[2023-11-28 11:38:59,882] Epoch 133, Loss 17.426795959472656
[2023-11-28 11:39:00,461] Epoch 134, Loss 25.7889404296875
[2023-11-28 11:39:03,113] Epoch 135, Loss 1.5831663608551025
[2023-11-28 11:39:03,868] Epoch 136, Loss 0.6788041591644287
[2023-11-28 11:39:04,780] Epoch 137, Loss 1.8633639812469482
[2023-11-28 11:39:07,628] Epoch 138, Loss 20.095626831054688
[2023-11-28 11:39:09,983] Epoch 139, Loss 37.30394744873047
[2023-11-28 11:39:11,453] Epoch 140, Loss 26.963735580444336
[2023-11-28 11:39:12,382] Epoch 141, Loss 17.97805404663086
[2023-11-28 11:39:14,824] Epoch 142, Loss 19.327022552490234
[2023-11-28 11:39:16,597] Epoch 143, Loss 35.21533203125
[2023-11-28 11:39:17,462] Epoch 144, Loss 0.37193045020103455
[2023-11-28 11:39:18,631] Epoch 145, Loss 1.6290651559829712
[2023-11-28 11:39:19,078] Epoch 146, Loss 0.2758777141571045
[2023-11-28 11:39:22,698] Epoch 147, Loss 15.657157897949219
[2023-11-28 11:39:23,117] Epoch 148, Loss 0.1044752448797226
[2023-11-28 11:39:24,690] Epoch 149, Loss 0.5167161822319031
[2023-11-28 11:39:25,727] Epoch 150, Loss 8.868200302124023
[2023-11-28 11:39:25,728] Saved model at ./models_wzno/epoch_150.h5
[2023-11-28 11:39:27,131] Epoch 151, Loss 18.680906295776367
[2023-11-28 11:39:29,271] Epoch 152, Loss 35.9952278137207
[2023-11-28 11:39:31,700] Epoch 153, Loss 38.219825744628906
[2023-11-28 11:39:34,148] Epoch 154, Loss 2.601414442062378
[2023-11-28 11:39:35,822] Epoch 155, Loss 17.926387786865234
[2023-11-28 11:39:39,464] Epoch 156, Loss 9.28785514831543
[2023-11-28 11:39:40,508] Epoch 157, Loss 17.718730926513672
[2023-11-28 11:39:43,271] Epoch 158, Loss 27.961322784423828
[2023-11-28 11:39:45,444] Epoch 159, Loss 18.272645950317383
[2023-11-28 11:39:47,570] Epoch 160, Loss 18.04837417602539
[2023-11-28 11:39:49,343] Epoch 161, Loss 1.2652479410171509
[2023-11-28 11:39:51,428] Epoch 162, Loss 34.96912384033203
[2023-11-28 11:39:52,634] Epoch 163, Loss 18.431964874267578
[2023-11-28 11:39:55,136] Epoch 164, Loss 1.8618720769882202
[2023-11-28 11:39:58,226] Epoch 165, Loss 36.28940963745117
[2023-11-28 11:39:59,962] Epoch 166, Loss 1.0310133695602417
[2023-11-28 11:40:03,108] Epoch 167, Loss 2.5543735027313232
[2023-11-28 11:40:06,947] Epoch 168, Loss 3.2115707397460938
[2023-11-28 11:40:09,515] Epoch 169, Loss 1.326314091682434
[2023-11-28 11:40:13,806] Epoch 170, Loss 19.84893226623535
[2023-11-28 11:40:16,380] Epoch 171, Loss 10.121431350708008
[2023-11-28 11:40:18,888] Epoch 172, Loss 1.1514091491699219
[2023-11-28 11:40:21,163] Epoch 173, Loss 27.017440795898438
[2023-11-28 11:40:23,975] Epoch 174, Loss 11.199621200561523
[2023-11-28 11:40:25,911] Epoch 175, Loss 69.44267272949219
[2023-11-28 11:40:26,406] Epoch 176, Loss 8.847433090209961
[2023-11-28 11:40:26,828] Epoch 177, Loss 0.7777959704399109
[2023-11-28 11:40:28,645] Epoch 178, Loss 18.75016212463379
[2023-11-28 11:40:30,393] Epoch 179, Loss 1.0300068855285645
[2023-11-28 11:40:32,555] Epoch 180, Loss 18.186426162719727
[2023-11-28 11:40:33,820] Epoch 181, Loss 18.230276107788086
[2023-11-28 11:40:35,080] Epoch 182, Loss 19.24092674255371
[2023-11-28 11:40:39,014] Epoch 183, Loss 3.618901014328003
[2023-11-28 11:40:39,669] Epoch 184, Loss 0.25009098649024963
[2023-11-28 11:40:40,215] Epoch 185, Loss 0.11531972885131836
[2023-11-28 11:40:41,758] Epoch 186, Loss 0.8878533840179443
[2023-11-28 11:40:43,633] Epoch 187, Loss 0.6964113116264343
[2023-11-28 11:40:45,331] Epoch 188, Loss 2.564267158508301
[2023-11-28 11:40:48,141] Epoch 189, Loss 4.556024074554443
[2023-11-28 11:40:49,745] Epoch 190, Loss 0.6444801688194275
[2023-11-28 11:40:51,358] Epoch 191, Loss 17.967117309570312
[2023-11-28 11:40:54,467] Epoch 192, Loss 16.362255096435547
[2023-11-28 11:40:54,967] Epoch 193, Loss 0.1301572322845459
[2023-11-28 11:40:56,655] Epoch 194, Loss 0.42446717619895935
[2023-11-28 11:40:57,882] Epoch 195, Loss 47.08314514160156
[2023-11-28 11:40:58,266] Epoch 196, Loss 17.48988914489746
[2023-11-28 11:40:59,614] Epoch 197, Loss 19.09684944152832
[2023-11-28 11:41:01,742] Epoch 198, Loss 19.690229415893555
[2023-11-28 11:41:03,943] Epoch 199, Loss 3.322232961654663
[2023-11-28 11:41:06,171] Epoch 200, Loss 10.062314987182617
[2023-11-28 11:41:06,172] Saved model at ./models_wzno/epoch_200.h5
[2023-11-28 11:41:07,053] Epoch 201, Loss 17.40355682373047
[2023-11-28 11:41:07,933] Epoch 202, Loss 1.374532699584961
[2023-11-28 11:41:08,948] Epoch 203, Loss 1.228507161140442
[2023-11-28 11:41:11,689] Epoch 204, Loss 87.83702087402344
[2023-11-28 11:41:12,826] Epoch 205, Loss 0.5715795159339905
[2023-11-28 11:41:14,453] Epoch 206, Loss 19.600454330444336
[2023-11-28 11:41:16,492] Epoch 207, Loss 1.2878013849258423
[2023-11-28 11:41:18,214] Epoch 208, Loss 19.915311813354492
[2023-11-28 11:41:20,764] Epoch 209, Loss 27.667591094970703
[2023-11-28 11:41:22,522] Epoch 210, Loss 18.822925567626953
[2023-11-28 11:41:25,632] Epoch 211, Loss 47.25050354003906
[2023-11-28 11:41:27,081] Epoch 212, Loss 17.897321701049805
[2023-11-28 11:41:27,886] Epoch 213, Loss 1.0871622562408447
[2023-11-28 11:41:28,872] Epoch 214, Loss 1.769870400428772
[2023-11-28 11:41:32,491] Epoch 215, Loss 6.102474212646484
[2023-11-28 11:41:35,001] Epoch 216, Loss 45.79758834838867
[2023-11-28 11:41:35,388] Epoch 217, Loss 0.4300447702407837
[2023-11-28 11:41:38,802] Epoch 218, Loss 3.5880014896392822
[2023-11-28 11:41:42,051] Epoch 219, Loss 2.2886056900024414
[2023-11-28 11:41:43,017] Epoch 220, Loss 17.646100997924805
[2023-11-28 11:41:43,982] Epoch 221, Loss 0.7279741764068604
[2023-11-28 11:41:44,576] Epoch 222, Loss 0.37000054121017456
[2023-11-28 11:41:46,481] Epoch 223, Loss 19.07408332824707
[2023-11-28 11:41:48,870] Epoch 224, Loss 19.330047607421875
[2023-11-28 11:41:51,126] Epoch 225, Loss 36.80351638793945
[2023-11-28 11:41:52,059] Epoch 226, Loss 18.240324020385742
[2023-11-28 11:41:53,746] Epoch 227, Loss 1.5268170833587646
[2023-11-28 11:41:55,172] Epoch 228, Loss 1.5371133089065552
[2023-11-28 11:41:57,639] Epoch 229, Loss 53.480167388916016
[2023-11-28 11:41:58,233] Epoch 230, Loss 0.4660416841506958
[2023-11-28 11:41:58,672] Epoch 231, Loss 0.4314606487751007
[2023-11-28 11:41:59,039] Epoch 232, Loss 0.40141913294792175
[2023-11-28 11:42:00,710] Epoch 233, Loss 9.740849494934082
[2023-11-28 11:42:01,132] Epoch 234, Loss 0.29548054933547974
