[2023-12-04 16:15:59,912] Filepath does not exist: ./models_conv/best.h5
[2023-12-04 16:15:59,912] Initializing new model
[2023-12-04 16:18:50,170] Epoch 89, Loss 41.234291076660156
[2023-12-04 16:18:51,351] Epoch 90, Loss 39.313133239746094
[2023-12-04 16:18:52,220] Epoch 91, Loss 9.901076316833496
[2023-12-04 16:18:52,833] Epoch 92, Loss 7.318188190460205
[2023-12-04 16:18:53,808] Epoch 93, Loss 11.623005867004395
[2023-12-04 16:18:55,009] Epoch 94, Loss 46.997615814208984
[2023-12-04 16:18:55,651] Epoch 95, Loss 29.70736312866211
[2023-12-04 16:18:56,738] Epoch 96, Loss 37.39188766479492
[2023-12-04 16:18:57,421] Epoch 97, Loss 9.040125846862793
[2023-12-04 16:18:58,291] Epoch 98, Loss 37.391845703125
[2023-12-04 16:18:58,812] Epoch 99, Loss 6.457239627838135
[2023-12-04 16:18:59,354] Epoch 100, Loss 6.457239627838135
[2023-12-04 16:20:16,807] ./models_conv/epoch_100.h5 is saved as the latest model
[2023-12-04 16:20:17,488] Epoch 101, Loss 23.943828582763672
[2023-12-04 16:20:18,624] Epoch 102, Loss 13.344970703125
[2023-12-04 16:20:19,876] Epoch 103, Loss 15.927865982055664
[2023-12-04 16:20:21,146] Epoch 104, Loss 41.23398971557617
[2023-12-04 16:20:22,209] Epoch 105, Loss 14.205941200256348
[2023-12-04 16:20:22,841] Epoch 106, Loss 8.179183959960938
[2023-12-04 16:20:23,397] Epoch 107, Loss 29.707128524780273
[2023-12-04 16:20:24,788] Epoch 108, Loss 17.649829864501953
[2023-12-04 16:20:25,761] Epoch 109, Loss 33.54935073852539
[2023-12-04 16:20:26,961] Epoch 110, Loss 15.066934585571289
[2023-12-04 16:20:28,022] Epoch 111, Loss 12.484039306640625
[2023-12-04 16:20:29,111] Epoch 112, Loss 37.39155578613281
[2023-12-04 16:20:29,615] Epoch 113, Loss 7.318233013153076
[2023-12-04 16:20:30,507] Epoch 114, Loss 31.628128051757812
[2023-12-04 16:20:31,009] Epoch 115, Loss 7.318236827850342
[2023-12-04 16:20:31,368] Epoch 116, Loss 23.943565368652344
[2023-12-04 16:20:31,758] Epoch 117, Loss 25.864669799804688
[2023-12-04 16:20:31,962] Epoch 118, Loss 20.10126495361328
[2023-12-04 16:20:33,323] Epoch 119, Loss 48.91810989379883
[2023-12-04 16:20:34,487] Epoch 120, Loss 15.066999435424805
[2023-12-04 16:20:35,848] Epoch 121, Loss 18.510892868041992
[2023-12-04 16:20:36,904] Epoch 122, Loss 12.484092712402344
[2023-12-04 16:20:37,600] Epoch 123, Loss 9.040212631225586
[2023-12-04 16:20:39,165] Epoch 124, Loss 17.649938583374023
[2023-12-04 16:20:39,566] Epoch 125, Loss 22.02219009399414
[2023-12-04 16:20:40,553] Epoch 126, Loss 10.76216983795166
[2023-12-04 16:20:41,114] Epoch 127, Loss 7.318277835845947
[2023-12-04 16:20:41,629] Epoch 128, Loss 6.457304000854492
[2023-12-04 16:20:42,572] Epoch 129, Loss 11.623149871826172
[2023-12-04 16:20:43,399] Epoch 130, Loss 10.76218032836914
[2023-12-04 16:20:43,982] Epoch 131, Loss 7.318282127380371
[2023-12-04 16:20:45,025] Epoch 132, Loss 12.484129905700684
[2023-12-04 16:20:46,476] Epoch 133, Loss 16.78900718688965
[2023-12-04 16:20:47,389] Epoch 134, Loss 10.76218032836914
[2023-12-04 16:20:48,677] Epoch 135, Loss 41.233272552490234
[2023-12-04 16:20:49,436] Epoch 136, Loss 33.548789978027344
[2023-12-04 16:20:50,114] Epoch 137, Loss 9.040239334106445
[2023-12-04 16:20:51,341] Epoch 138, Loss 15.928044319152832
[2023-12-04 16:20:52,394] Epoch 139, Loss 13.345124244689941
[2023-12-04 16:20:53,303] Epoch 140, Loss 11.623173713684082
[2023-12-04 16:20:54,488] Epoch 141, Loss 15.067075729370117
[2023-12-04 16:20:55,563] Epoch 142, Loss 43.1542854309082
[2023-12-04 16:20:56,854] Epoch 143, Loss 16.789039611816406
[2023-12-04 16:20:57,561] Epoch 144, Loss 8.179271697998047
[2023-12-04 16:20:58,841] Epoch 145, Loss 14.206108093261719
[2023-12-04 16:21:00,233] Epoch 146, Loss 46.996456146240234
[2023-12-04 16:21:00,761] Epoch 147, Loss 8.179282188415527
[2023-12-04 16:21:02,061] Epoch 148, Loss 16.789051055908203
[2023-12-04 16:21:02,346] Epoch 149, Loss 4.7353739738464355
[2023-12-04 16:21:02,831] Epoch 150, Loss 25.864152908325195
[2023-12-04 16:22:25,193] ./models_conv/epoch_150.h5 is saved as the latest model
[2023-12-04 16:22:26,046] Epoch 151, Loss 25.8641300201416
[2023-12-04 16:22:26,208] Epoch 152, Loss 18.179655075073242
[2023-12-04 16:22:26,648] Epoch 153, Loss 6.457335472106934
[2023-12-04 16:22:27,479] Epoch 154, Loss 9.040277481079102
[2023-12-04 16:22:28,289] Epoch 155, Loss 31.62734603881836
[2023-12-04 16:22:28,619] Epoch 156, Loss 4.735386848449707
[2023-12-04 16:22:29,776] Epoch 157, Loss 15.067150115966797
[2023-12-04 16:22:30,798] Epoch 158, Loss 35.46945571899414
[2023-12-04 16:22:31,742] Epoch 159, Loss 35.46941375732422
[2023-12-04 16:22:32,975] Epoch 160, Loss 16.789142608642578
[2023-12-04 16:22:33,831] Epoch 161, Loss 37.39042282104492
[2023-12-04 16:22:34,510] Epoch 162, Loss 29.705942153930664
[2023-12-04 16:22:35,763] Epoch 163, Loss 11.62328052520752
[2023-12-04 16:22:36,213] Epoch 164, Loss 25.86362075805664
[2023-12-04 16:22:37,222] Epoch 165, Loss 12.484298706054688
[2023-12-04 16:22:37,866] Epoch 166, Loss 31.626787185668945
[2023-12-04 16:22:38,635] Epoch 167, Loss 29.705615997314453
[2023-12-04 16:22:39,873] Epoch 168, Loss 14.206319808959961
[2023-12-04 16:22:40,845] Epoch 169, Loss 10.762372970581055
[2023-12-04 16:22:41,865] Epoch 170, Loss 11.623373031616211
[2023-12-04 16:22:43,132] Epoch 171, Loss 48.916194915771484
[2023-12-04 16:22:44,088] Epoch 172, Loss 39.310665130615234
[2023-12-04 16:22:44,393] Epoch 173, Loss 23.941890716552734
[2023-12-04 16:22:44,921] Epoch 174, Loss 25.862863540649414
[2023-12-04 16:22:45,666] Epoch 175, Loss 31.625961303710938
[2023-12-04 16:22:46,547] Epoch 176, Loss 12.4844970703125
[2023-12-04 16:22:47,579] Epoch 177, Loss 11.623517990112305
[2023-12-04 16:22:48,829] Epoch 178, Loss 46.99407958984375
[2023-12-04 16:22:49,675] Epoch 179, Loss 35.467525482177734
[2023-12-04 16:22:49,960] Epoch 180, Loss 22.01993179321289
[2023-12-04 16:22:51,541] Epoch 181, Loss 52.75662612915039
[2023-12-04 16:22:52,851] Epoch 182, Loss 45.072139739990234
[2023-12-04 16:22:54,079] Epoch 183, Loss 13.34575366973877
[2023-12-04 16:22:54,897] Epoch 184, Loss 35.46640396118164
[2023-12-04 16:22:56,236] Epoch 185, Loss 16.789934158325195
[2023-12-04 16:22:57,214] Epoch 186, Loss 10.762811660766602
[2023-12-04 16:22:58,111] Epoch 187, Loss 10.762842178344727
[2023-12-04 16:22:59,120] Epoch 188, Loss 41.228668212890625
[2023-12-04 16:22:59,518] Epoch 189, Loss 22.018312454223633
[2023-12-04 16:23:00,151] Epoch 190, Loss 9.040862083435059
[2023-12-04 16:23:01,487] Epoch 191, Loss 15.068143844604492
[2023-12-04 16:23:02,520] Epoch 192, Loss 35.464847564697266
[2023-12-04 16:23:03,607] Epoch 193, Loss 39.30664825439453
[2023-12-04 16:23:05,080] Epoch 194, Loss 20.234556198120117
[2023-12-04 16:23:05,998] Epoch 195, Loss 35.46420669555664
[2023-12-04 16:23:06,580] Epoch 196, Loss 7.3189263343811035
[2023-12-04 16:23:07,252] Epoch 197, Loss 8.180004119873047
[2023-12-04 16:23:07,829] Epoch 198, Loss 8.18002700805664
[2023-12-04 16:23:09,327] Epoch 199, Loss 46.98919677734375
[2023-12-04 16:23:10,301] Epoch 200, Loss 12.485376358032227
[2023-12-04 16:24:27,255] ./models_conv/epoch_200.h5 is saved as the latest model
[2023-12-04 16:24:27,917] Epoch 201, Loss 25.858198165893555
[2023-12-04 16:24:28,667] Epoch 202, Loss 9.0411958694458
[2023-12-04 16:24:29,994] Epoch 203, Loss 48.909141540527344
[2023-12-04 16:24:31,125] Epoch 204, Loss 10.76340389251709
[2023-12-04 16:24:32,291] Epoch 205, Loss 14.207746505737305
