[2023-11-30 19:12:19,108] Filepath does not exist: ./models_fwd/best.h5
[2023-11-30 19:12:19,109] Initializing new model
[2023-11-30 19:26:02,727] Epoch 34, Loss 26.56264305114746
[2023-11-30 19:26:04,275] Epoch 35, Loss 1.6394230127334595
[2023-11-30 19:26:05,432] Epoch 36, Loss 0.6685214042663574
[2023-11-30 19:26:06,226] Epoch 37, Loss 1.7070233821868896
[2023-11-30 19:26:06,774] Epoch 38, Loss 0.3377671241760254
[2023-11-30 19:26:07,983] Epoch 39, Loss 21.93168067932129
[2023-11-30 19:26:08,637] Epoch 40, Loss 0.20869015157222748
[2023-11-30 19:26:09,287] Epoch 41, Loss 0.8299228549003601
[2023-11-30 19:26:10,050] Epoch 42, Loss 0.2546372413635254
[2023-11-30 19:26:10,466] Epoch 43, Loss 0.9757205247879028
[2023-11-30 19:26:11,866] Epoch 44, Loss 1.951817512512207
[2023-11-30 19:26:13,258] Epoch 45, Loss 2.358459711074829
[2023-11-30 19:26:13,843] Epoch 46, Loss 0.2863810956478119
[2023-11-30 19:26:15,292] Epoch 47, Loss 0.24686604738235474
[2023-11-30 19:26:16,034] Epoch 48, Loss 0.5491592288017273
[2023-11-30 19:26:16,549] Epoch 49, Loss 0.22978094220161438
[2023-11-30 19:26:17,017] Epoch 50, Loss 0.894364058971405
[2023-11-30 19:28:54,046] Filepath does not exist: ./models_fwd/best.h5
[2023-11-30 19:28:54,046] Initializing new model
[2023-11-30 19:28:54,771] Epoch 1, Loss 9.094274520874023
[2023-11-30 19:28:55,913] Epoch 2, Loss 1.9338345527648926
[2023-11-30 19:29:32,699] Filepath does not exist: ./models_fwd/best.h5
[2023-11-30 19:29:32,699] Initializing new model
[2023-11-30 19:29:34,333] Epoch 1, Loss 9.158798217773438
[2023-11-30 19:29:35,053] Epoch 2, Loss 3.0051114559173584
[2023-11-30 19:29:36,391] Epoch 3, Loss 2.0360379219055176
[2023-11-30 19:29:37,932] Epoch 4, Loss 4.8667216300964355
[2023-11-30 19:29:39,116] Epoch 5, Loss 2.5363152027130127
[2023-11-30 19:29:39,896] Epoch 6, Loss 1.572122573852539
[2023-11-30 19:29:40,413] Epoch 7, Loss 0.6846675872802734
[2023-11-30 19:29:40,889] Epoch 8, Loss 0.7459275722503662
[2023-11-30 19:29:42,492] Epoch 9, Loss 2.3107452392578125
[2023-11-30 19:29:43,026] Epoch 10, Loss 0.39282259345054626
[2023-11-30 19:29:43,799] Epoch 11, Loss 18.34842300415039
[2023-11-30 19:29:43,978] Epoch 12, Loss 0.6682561635971069
[2023-11-30 19:29:45,071] Epoch 13, Loss 17.414417266845703
