[2023-12-02 22:46:17,007] Filepath does not exist: ./models_dens/best.h5
[2023-12-02 22:46:17,007] Initializing new model
[2023-12-02 22:49:37,862] Epoch 89, Loss 41.0627326965332
[2023-12-02 22:49:38,862] Epoch 90, Loss 53.50423812866211
[2023-12-02 22:49:39,833] Epoch 91, Loss 47.41082000732422
[2023-12-02 22:49:41,153] Epoch 92, Loss 39.790367126464844
[2023-12-02 22:49:41,446] Epoch 93, Loss 24.901880264282227
[2023-12-02 22:49:42,084] Epoch 94, Loss 11.666516304016113
[2023-12-02 22:49:42,601] Epoch 95, Loss 8.87231731414795
[2023-12-02 22:49:43,919] Epoch 96, Loss 37.37522888183594
[2023-12-02 22:49:44,545] Epoch 97, Loss 12.63037109375
[2023-12-02 22:49:45,027] Epoch 98, Loss 8.613330841064453
[2023-12-02 22:49:45,670] Epoch 99, Loss 11.306386947631836
[2023-12-02 22:49:46,349] Epoch 100, Loss 11.162225723266602
[2023-12-02 22:51:14,262] ./models_dens/epoch_100.h5 is saved as the latest model
[2023-12-02 22:51:15,980] Epoch 101, Loss 25.183673858642578
[2023-12-02 22:51:17,731] Epoch 102, Loss 29.654207229614258
[2023-12-02 22:51:18,546] Epoch 103, Loss 11.796464920043945
[2023-12-02 22:51:18,709] Epoch 104, Loss 5.527087211608887
[2023-12-02 22:51:19,459] Epoch 105, Loss 10.426034927368164
[2023-12-02 22:51:20,867] Epoch 106, Loss 47.36467361450195
[2023-12-02 22:51:21,638] Epoch 107, Loss 10.177595138549805
[2023-12-02 22:51:22,819] Epoch 108, Loss 38.7172966003418
[2023-12-02 22:51:23,997] Epoch 109, Loss 13.993918418884277
[2023-12-02 22:51:24,888] Epoch 110, Loss 19.843721389770508
[2023-12-02 22:51:25,915] Epoch 111, Loss 13.712923049926758
[2023-12-02 22:51:26,745] Epoch 112, Loss 9.86865520477295
[2023-12-02 22:51:28,918] Epoch 113, Loss 67.60307312011719
[2023-12-02 22:51:29,894] Epoch 114, Loss 13.704863548278809
[2023-12-02 22:51:30,751] Epoch 115, Loss 42.61907196044922
[2023-12-02 22:51:30,977] Epoch 116, Loss 5.1697916984558105
[2023-12-02 22:51:31,746] Epoch 117, Loss 31.526145935058594
[2023-12-02 22:51:33,035] Epoch 118, Loss 17.376724243164062
[2023-12-02 22:51:34,255] Epoch 119, Loss 15.111474990844727
[2023-12-02 22:51:34,834] Epoch 120, Loss 11.177291870117188
[2023-12-02 22:51:36,354] Epoch 121, Loss 38.73063659667969
[2023-12-02 22:51:37,780] Epoch 122, Loss 64.21939086914062
[2023-12-02 22:51:38,810] Epoch 123, Loss 71.04975128173828
[2023-12-02 22:51:40,546] Epoch 124, Loss 36.23576736450195
[2023-12-02 22:51:41,245] Epoch 125, Loss 12.017302513122559
[2023-12-02 22:51:42,932] Epoch 126, Loss 41.09596252441406
[2023-12-02 22:51:43,508] Epoch 127, Loss 9.122527122497559
[2023-12-02 22:51:44,985] Epoch 128, Loss 39.31580352783203
[2023-12-02 22:51:45,574] Epoch 129, Loss 9.20300006866455
[2023-12-02 22:51:46,923] Epoch 130, Loss 17.226367950439453
[2023-12-02 22:51:47,573] Epoch 131, Loss 15.96146297454834
[2023-12-02 22:51:48,388] Epoch 132, Loss 30.29145622253418
[2023-12-02 22:51:49,178] Epoch 133, Loss 18.075782775878906
[2023-12-02 22:51:50,131] Epoch 134, Loss 31.610620498657227
[2023-12-02 22:51:52,072] Epoch 135, Loss 33.172576904296875
