,FLAT_started_FLAT_won,UCT_1500_started_FLAT_won,FLAT_started_Tie,UCT_1500_started_Tie,FLAT_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,9.0,,,,,
1,,,,,,19.0
2,,,,,,9.0
3,,,,,,23.0
4,13.0,,,,,
5,9.0,,,,,
6,,,,,,17.0
7,,,,,,15.0
8,,18.0,,,,
9,9.0,,,,,
10,,,,,,21.0
11,,,,,16.0,
12,,,,,,25.0
13,,,,,,17.0
14,15.0,,,,,
15,,10.0,,,,
16,,,,,22.0,
17,9.0,,,,,
18,,,,,,15.0
19,,,,,,11.0
20,15.0,,,,,
21,,12.0,,,,
22,9.0,,,,,
23,,,,,,13.0
24,9.0,,,,,
25,,10.0,,,,
26,15.0,,,,,
27,,,,,,21.0
28,,,,,20.0,
29,,,,,,13.0
30,,10.0,,,,
31,,10.0,,,,
32,9.0,,,,,
33,,,,,14.0,
34,,,,,14.0,
35,11.0,,,,,
36,,,,,,19.0
37,,,,,,13.0
38,,,,,,19.0
39,17.0,,,,,
40,,,,,,25.0
41,9.0,,,,,
42,9.0,,,,,
43,,10.0,,,,
44,,,,,,15.0
45,,10.0,,,,
46,,10.0,,,,
47,15.0,,,,,
48,,,,,18.0,
49,9.0,,,,,
