,FLAT_started_FLAT_won,UCT_4500_started_FLAT_won,FLAT_started_Tie,UCT_4500_started_Tie,FLAT_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,10.0,
1,,,,,,13.0
2,,,,,,13.0
3,,,,,,19.0
4,,,,,,11.0
5,,,,,,15.0
6,,,,,,9.0
7,,,,,26.0,
8,,,,,,9.0
9,,,,,,21.0
10,,,,,10.0,
11,,,,,18.0,
12,,,,,20.0,
13,,,,,16.0,
14,,,,,10.0,
15,,,,,,11.0
16,,,,,10.0,
17,,10.0,,,,
18,,,,,10.0,
19,,,,,,23.0
20,,,,,,11.0
21,,,,,,11.0
22,,,,,,13.0
23,,,,,,25.0
24,,,,,24.0,
25,,,,,,13.0
26,,,,,,27.0
27,,,,,,15.0
28,11.0,,,,,
29,,,,,,19.0
30,,,,,,19.0
31,,,,,10.0,
32,,10.0,,,,
33,,,,,14.0,
34,,,,,10.0,
35,,,,,14.0,
36,,,,,16.0,
37,,18.0,,,,
38,,,,,,11.0
39,,,,,,15.0
40,,,,,,11.0
41,,,,,,9.0
42,9.0,,,,,
43,,,,,24.0,
44,,,,,,13.0
45,,,,,,19.0
46,,,,,,21.0
47,,,,,,9.0
48,,,,,,15.0
49,,12.0,,,,
