,ZEROX_v2_started_ZEROX_v2_won,ZEROX_v4_started_ZEROX_v2_won,ZEROX_v2_started_Tie,ZEROX_v4_started_Tie,ZEROX_v2_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,,19.0
1,,,,,24.0,
2,,,,,14.0,
3,,,,,,11.0
4,,,,,18.0,
5,,,,,10.0,
6,,,,,,9.0
7,,,,,16.0,
8,,,,,26.0,
9,,,,,14.0,
10,,,,,14.0,
11,,,,,16.0,
12,,,,,12.0,
13,,,,64.0,,
14,,,,,,25.0
15,,,,,14.0,
16,,,,,18.0,
17,,,,,18.0,
18,,,64.0,,,
19,15.0,,,,,
20,,,,,10.0,
21,,,,,10.0,
22,,,,64.0,,
23,,,,,12.0,
24,,,,,,21.0
25,,,,,,17.0
26,,,,,14.0,
27,,,,,12.0,
28,,,,,12.0,
29,,,,,,11.0
30,,,,,,11.0
31,,,,,14.0,
32,,,,,14.0,
33,,,,,12.0,
34,,,,,18.0,
35,,,,,22.0,
36,,,,,,11.0
37,,,,,20.0,
38,,,,,10.0,
39,,,,64.0,,
40,,,,,12.0,
41,,,,,14.0,
42,,,,,14.0,
43,,,,,,11.0
44,,,,,12.0,
45,,,,,18.0,
46,,22.0,,,,
47,,,,,,15.0
48,,,,,12.0,
49,,,,,,9.0
