,FLAT_v1_started_FLAT_v1_won,UCT_6000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_6000_started_Tie,FLAT_v1_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,,13.0
1,,,,,,11.0
2,,,,,,11.0
3,,,,,10.0,
4,,,,,,19.0
5,,14.0,,,,
6,,,,,10.0,
7,,,,,22.0,
8,,,,,,11.0
9,,,,,,13.0
10,,,,,,11.0
11,,,,,,13.0
12,,,,,,19.0
13,,,,,,11.0
14,,,,,28.0,
15,13.0,,,,,
16,,,,,10.0,
17,,18.0,,,,
18,,,,,,15.0
19,,,,,,13.0
20,,,,,10.0,
21,,,,,,17.0
22,9.0,,,,,
23,,,,,,11.0
24,,,,,10.0,
25,,,,,,13.0
26,,,,,,13.0
27,,,,,,21.0
28,,,,,,9.0
29,,,,,22.0,
30,,,,,,15.0
31,,,,,18.0,
32,,,,,,25.0
33,,,,,10.0,
34,,,,,,13.0
35,,,,,12.0,
36,,,,,16.0,
37,,,,,,13.0
38,,,,,12.0,
39,,,,,10.0,
40,,,,,,9.0
41,,,,,,11.0
42,,,,,,9.0
43,,,,,16.0,
44,11.0,,,,,
45,,,,,10.0,
46,,,,,10.0,
47,,,,,16.0,
48,,,,,,11.0
49,,,,,10.0,
