,ZERO_v2_started_ZERO_v2_won,UCT_1500_started_ZERO_v2_won,ZERO_v2_started_Tie,UCT_1500_started_Tie,ZERO_v2_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,,12.0,,,,
1,21.0,,,,,
2,,,,,,15.0
3,,10.0,,,,
4,15.0,,,,,
5,,12.0,,,,
6,,10.0,,,,
7,19.0,,,,,
8,,10.0,,,,
9,15.0,,,,,
10,,,,,,29.0
11,11.0,,,,,
12,,12.0,,,,
13,9.0,,,,,
14,,18.0,,,,
15,,10.0,,,,
16,,12.0,,,,
17,11.0,,,,,
18,9.0,,,,,
19,,,,,,9.0
20,,,,,10.0,
21,,,,,,11.0
22,9.0,,,,,
23,,18.0,,,,
24,9.0,,,,,
25,,,,,,31.0
26,,,,,10.0,
27,11.0,,,,,
28,9.0,,,,,
29,17.0,,,,,
30,,,,,14.0,
31,,12.0,,,,
32,,,,,,23.0
33,,,,,18.0,
34,9.0,,,,,
35,15.0,,,,,
36,,22.0,,,,
37,,,,,18.0,
38,,,,,,13.0
39,,,,,,15.0
40,,12.0,,,,
41,,12.0,,,,
42,,10.0,,,,
43,,,,,,31.0
44,,,,,,13.0
45,11.0,,,,,
46,,12.0,,,,
47,9.0,,,,,
48,,10.0,,,,
49,,10.0,,,,
