,FLAT_v5_started_FLAT_v5_won,UCT_1500_started_FLAT_v5_won,FLAT_v5_started_Tie,UCT_1500_started_Tie,FLAT_v5_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,15.0,,,,,
1,9.0,,,,,
2,9.0,,,,,
3,,,,,,25.0
4,,12.0,,,,
5,,,,,28.0,
6,9.0,,,,,
7,15.0,,,,,
8,9.0,,,,,
9,19.0,,,,,
10,9.0,,,,,
11,,10.0,,,,
12,13.0,,,,,
13,9.0,,,,,
14,9.0,,,,,
15,9.0,,,,,
16,13.0,,,,,
17,,,,,36.0,
18,9.0,,,,,
19,9.0,,,,,
20,,12.0,,,,
21,,10.0,,,,
22,9.0,,,,,
23,9.0,,,,,
24,9.0,,,,,
25,,,,,22.0,
26,,22.0,,,,
27,,,,,20.0,
28,9.0,,,,,
29,9.0,,,,,
30,21.0,,,,,
31,,,,,,15.0
32,,,,,,29.0
33,,,,,,11.0
34,,10.0,,,,
35,,,,,38.0,
36,,10.0,,,,
37,,14.0,,,,
38,9.0,,,,,
39,,10.0,,,,
40,,10.0,,,,
41,17.0,,,,,
42,,,,,,19.0
43,,10.0,,,,
44,9.0,,,,,
45,,12.0,,,,
46,,,,,,17.0
47,,,,,,17.0
48,,10.0,,,,
49,15.0,,,,,
