,ZEROX_v1_started_ZEROX_v1_won,UCT_6000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_6000_started_Tie,ZEROX_v1_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,,15.0
1,11.0,,,,,
2,,,,,,13.0
3,,,,,22.0,
4,,,,,,9.0
5,15.0,,,,,
6,9.0,,,,,
7,,,,,,15.0
8,,,,,,9.0
9,,14.0,,,,
10,,,,,,23.0
11,11.0,,,,,
12,,,,,,9.0
13,,,,,,19.0
14,,,,,,15.0
15,,,,,,9.0
16,,,,,10.0,
17,9.0,,,,,
18,,,,,,23.0
19,,,,,,15.0
20,,,,,,11.0
21,,,,,10.0,
22,,,,,10.0,
23,,,,,,9.0
24,,,,64.0,,
25,17.0,,,,,
26,,,,,32.0,
27,,,,,16.0,
28,,,,,,11.0
29,,,,,,13.0
30,,,,,44.0,
31,,,,,,9.0
32,,,,,,11.0
33,,,,,,17.0
34,,,,,,11.0
35,,,,,,13.0
36,,10.0,,,,
37,,,,,20.0,
38,,,,,,11.0
39,,,,,,13.0
40,,,,,10.0,
41,,,,,10.0,
42,,,,,,9.0
43,,,,,,9.0
44,,,,,,23.0
45,,14.0,,,,
46,,,,,,17.0
47,,,,,14.0,
48,,,,,10.0,
49,19.0,,,,,
