,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v5_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v5_started_Tie,ZEROX_v1_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,,,,13.0
1,,,,,14.0,
2,,,,,,11.0
3,,,,,12.0,
4,,,,,,11.0
5,,,,,,23.0
6,,,,,18.0,
7,19.0,,,,,
8,,,,,,11.0
9,,,,,14.0,
10,,,,,12.0,
11,,,,,,9.0
12,,,,,20.0,
13,,,,,,9.0
14,,,,,,11.0
15,,,,,,15.0
16,,,,,,9.0
17,,,,,12.0,
18,,,,,14.0,
19,,,,,,19.0
20,,,,,20.0,
21,,,,,,9.0
22,,,,,,21.0
23,,,,,,11.0
24,,,,,12.0,
25,,,,,24.0,
26,,,,,10.0,
27,,,,,,9.0
28,,,,,,21.0
29,,,,,14.0,
30,,,,,16.0,
31,,,,,,11.0
32,,,,,10.0,
33,,,,,,11.0
34,,,,,12.0,
35,,,,,14.0,
36,,,,,10.0,
37,,,,,,11.0
38,,,,,,9.0
39,,,,,18.0,
40,,,,,,9.0
41,,,,,24.0,
42,,,,,12.0,
43,,,,,,11.0
44,,,,,,11.0
45,,,,,14.0,
46,,,,,14.0,
47,,,,,32.0,
48,,,,,,13.0
49,,,,,,17.0
