,ZEROX_v3_started_ZEROX_v3_won,UCT_1500_started_ZEROX_v3_won,ZEROX_v3_started_Tie,UCT_1500_started_Tie,ZEROX_v3_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,,,,,42.0,
1,,,,,,21.0
2,,10.0,,,,
3,19.0,,,,,
4,15.0,,,,,
5,15.0,,,,,
6,15.0,,,,,
7,,10.0,,,,
8,,20.0,,,,
9,,,,64.0,,
10,9.0,,,,,
11,9.0,,,,,
12,,10.0,,,,
13,9.0,,,,,
14,9.0,,,,,
15,9.0,,,,,
16,,16.0,,,,
17,9.0,,,,,
18,,24.0,,,,
19,,12.0,,,,
20,,10.0,,,,
21,25.0,,,,,
22,13.0,,,,,
23,,10.0,,,,
24,,,,,30.0,
25,,,,,24.0,
26,,26.0,,,,
27,9.0,,,,,
28,,12.0,,,,
29,,10.0,,,,
30,,24.0,,,,
31,,16.0,,,,
32,9.0,,,,,
33,9.0,,,,,
34,11.0,,,,,
35,,10.0,,,,
36,,12.0,,,,
37,9.0,,,,,
38,,10.0,,,,
39,9.0,,,,,
40,,,,,,19.0
41,9.0,,,,,
42,9.0,,,,,
43,13.0,,,,,
44,,,,,46.0,
45,,10.0,,,,
46,,18.0,,,,
47,17.0,,,,,
48,,10.0,,,,
49,9.0,,,,,
