,FLAT_v2_started_FLAT_v2_won,UCT_3000_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_3000_started_Tie,FLAT_v2_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,,23.0
1,,,,,,13.0
2,,,,,,9.0
3,9.0,,,,,
4,,,,,14.0,
5,,,,,,11.0
6,,,,,10.0,
7,,,,,10.0,
8,,24.0,,,,
9,,,,,,15.0
10,,,,,,13.0
11,,,,,,25.0
12,,,,,,13.0
13,,,,,,9.0
14,,,,,14.0,
15,,,,,,13.0
16,,,,,,17.0
17,,,,,,19.0
18,21.0,,,,,
19,,,,,,9.0
20,9.0,,,,,
21,,,,,20.0,
22,9.0,,,,,
23,,,,,,15.0
24,,,,,,11.0
25,,,,,,17.0
26,,,,,,33.0
27,,,,,,31.0
28,,,,,14.0,
29,,,,,,15.0
30,9.0,,,,,
31,9.0,,,,,
32,,10.0,,,,
33,,,,,,19.0
34,,,,,,21.0
35,,12.0,,,,
36,,,,,14.0,
37,,,,,12.0,
38,,,,,,13.0
39,,,,,16.0,
40,,,,,14.0,
41,,,,,30.0,
42,,,,,,13.0
43,,,,,24.0,
44,,,,,,15.0
45,,,,,14.0,
46,13.0,,,,,
47,,,,,,25.0
48,,10.0,,,,
49,,,,,,17.0
