,FLAT_v1_started_FLAT_v1_won,ZERO_v1_started_FLAT_v1_won,FLAT_v1_started_Tie,ZERO_v1_started_Tie,FLAT_v1_started_ZERO_v1_won,ZERO_v1_started_ZERO_v1_won
0,,,,,,33.0
1,,,,,10.0,
2,,,,,,27.0
3,15.0,,,,,
4,,,,,28.0,
5,,,,,18.0,
6,,,,,10.0,
7,,,,,12.0,
8,,,,,,11.0
9,,,,,,15.0
10,,,,,,15.0
11,,22.0,,,,
12,,,,,24.0,
13,,,,,18.0,
14,,,,,,59.0
15,,,,,,11.0
16,,,,,,13.0
17,,,,,,37.0
18,,,,,,17.0
19,,,,,12.0,
20,,,,,,35.0
21,,,,,,13.0
22,,,,,10.0,
23,,,,,,15.0
24,,,,,,15.0
25,,,,,16.0,
26,,,,,16.0,
27,,,,,18.0,
28,,,,,52.0,
29,,,,,32.0,
30,,,,,26.0,
31,13.0,,,,,
32,,,,,,17.0
33,,,,,20.0,
34,,,,,,19.0
35,,,,,18.0,
36,,28.0,,,,
37,,,,,,37.0
38,,,,,,39.0
39,,,,,,27.0
40,,,,,,9.0
41,,,,,,15.0
42,,,,,16.0,
43,,,,,14.0,
44,,,,,34.0,
45,,,,,,17.0
46,,,,,,9.0
47,,,,,,19.0
48,,,,,,11.0
49,,,,,14.0,
