,ZERO_v5_started_ZERO_v5_won,ZEROX_v5_started_ZERO_v5_won,ZERO_v5_started_Tie,ZEROX_v5_started_Tie,ZERO_v5_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,,,24.0,
1,37.0,,,,,
2,19.0,,,,,
3,,,,,18.0,
4,15.0,,,,,
5,11.0,,,,,
6,,20.0,,,,
7,27.0,,,,,
8,23.0,,,,,
9,,,,,16.0,
10,,18.0,,,,
11,,14.0,,,,
12,15.0,,,,,
13,11.0,,,,,
14,,,,,,19.0
15,,22.0,,,,
16,,,,,24.0,
17,,,,,,11.0
18,,,,,,15.0
19,,,,,18.0,
20,,,,,,19.0
21,,,,,,15.0
22,,,,,,47.0
23,,,,,22.0,
24,,,,,,35.0
25,,,,,10.0,
26,43.0,,,,,
27,,,,,,27.0
28,,22.0,,,,
29,,,,,16.0,
30,31.0,,,,,
31,29.0,,,,,
32,,,,,,25.0
33,,,,,,29.0
34,17.0,,,,,
35,31.0,,,,,
36,,,,,28.0,
37,,,,,,27.0
38,29.0,,,,,
39,,24.0,,,,
40,,30.0,,,,
41,,,,,20.0,
42,,24.0,,,,
43,,,,,,27.0
44,,,,,,51.0
45,,,,,,15.0
46,,,,,,47.0
47,,26.0,,,,
48,,,,,,15.0
49,,,,,,29.0
