,ZERO_started_ZERO_won,UCT_1500_started_ZERO_won,ZERO_started_Tie,UCT_1500_started_Tie,ZERO_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,13.0,,,,,
1,,,,,,19.0
2,,12.0,,,,
3,13.0,,,,,
4,,,,,,25.0
5,15.0,,,,,
6,17.0,,,,,
7,,,,,,11.0
8,,,,,,9.0
9,15.0,,,,,
10,13.0,,,,,
11,,,,,22.0,
12,9.0,,,,,
13,,,,,,17.0
14,15.0,,,,,
15,11.0,,,,,
16,,24.0,,,,
17,,,,,32.0,
18,,,,,,13.0
19,,,,,,23.0
20,13.0,,,,,
21,11.0,,,,,
22,,,,,,9.0
23,,,,,48.0,
24,,,,,,11.0
25,,,,,,13.0
26,,,,,,29.0
27,,12.0,,,,
28,,18.0,,,,
29,17.0,,,,,
30,,,,,18.0,
31,33.0,,,,,
32,11.0,,,,,
33,11.0,,,,,
34,,,,,10.0,
35,,10.0,,,,
36,,,,,,9.0
37,13.0,,,,,
38,,,,,10.0,
39,,,,,,15.0
40,,,,,14.0,
41,11.0,,,,,
42,15.0,,,,,
43,11.0,,,,,
44,,10.0,,,,
45,,,,,,17.0
46,9.0,,,,,
47,,,,,,15.0
48,19.0,,,,,
49,,,,,,15.0
