,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v3_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v3_started_Tie,ZEROX_v1_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,,,,12.0,
1,,,,,10.0,
2,,,,,12.0,
3,,,,,,9.0
4,,,,,,17.0
5,,,,,10.0,
6,,,,,,9.0
7,,,,,,15.0
8,,,,,10.0,
9,,,,,20.0,
10,11.0,,,,,
11,,,,,,25.0
12,,,,,,51.0
13,,,,,10.0,
14,,,,,14.0,
15,,,,,14.0,
16,43.0,,,,,
17,,,,,,11.0
18,,,,,12.0,
19,,,,,,11.0
20,,,,,20.0,
21,,,,,,9.0
22,,,,,,11.0
23,,,,,10.0,
24,,,,,,11.0
25,,,,,16.0,
26,,,,,,9.0
27,,,,,12.0,
28,,,,,12.0,
29,,,,,12.0,
30,,,,,12.0,
31,,,,,,9.0
32,,,,64.0,,
33,,,,,10.0,
34,,,,,,21.0
35,,,,,,11.0
36,,,,,,19.0
37,,,,,10.0,
38,,,,,,9.0
39,,,,,12.0,
40,,,,,,11.0
41,,,,,14.0,
42,,,,,,9.0
43,,,,,12.0,
44,13.0,,,,,
45,,,,,12.0,
46,,,,,10.0,
47,,,,,,11.0
48,,,,,16.0,
49,,,,,,41.0
