,ZERO_v2_started_ZERO_v2_won,ZERO_v4_started_ZERO_v2_won,ZERO_v2_started_Tie,ZERO_v4_started_Tie,ZERO_v2_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,,,,,14.0,
1,,,,,10.0,
2,,,,,12.0,
3,,,,,12.0,
4,,,,,20.0,
5,,,,,18.0,
6,,,,,,13.0
7,,,,,,13.0
8,,,,,12.0,
9,,,,,,11.0
10,,,,,10.0,
11,,,,,16.0,
12,,,,,16.0,
13,,,,,12.0,
14,,,,,,13.0
15,,,,,24.0,
16,,,,,,11.0
17,,,,,10.0,
18,,,,64.0,,
19,,,,,12.0,
20,,,,,,17.0
21,,,,,,11.0
22,,,,,12.0,
23,,,,,,19.0
24,,42.0,,,,
25,,,,,12.0,
26,,,,,10.0,
27,,,,,18.0,
28,,,,,,9.0
29,,,,,14.0,
30,,,,,14.0,
31,,,,,,25.0
32,,,,,,15.0
33,,,,64.0,,
34,,,,,,9.0
35,,,,,12.0,
36,,,,,16.0,
37,,,,,14.0,
38,11.0,,,,,
39,,,,,22.0,
40,,,,,12.0,
41,,,,,10.0,
42,,,,,12.0,
43,,,,,,11.0
44,,,,,,13.0
45,,,,,,21.0
46,,,,,,27.0
47,,,,64.0,,
48,,,,,26.0,
49,,,,64.0,,
