,ZERO_v1_started_ZERO_v1_won,UCT_4500_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_4500_started_Tie,ZERO_v1_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,13.0,,,,,
1,,,,,,17.0
2,9.0,,,,,
3,,,,,16.0,
4,,,,,14.0,
5,,,,,14.0,
6,,,,,,11.0
7,,,,,,9.0
8,9.0,,,,,
9,17.0,,,,,
10,9.0,,,,,
11,,,,,16.0,
12,,,,,,31.0
13,,,,,,21.0
14,,,,,,29.0
15,,,,,,11.0
16,,,,,,15.0
17,,,,,,17.0
18,11.0,,,,,
19,,,,,,11.0
20,,,,,22.0,
21,,,,,,11.0
22,9.0,,,,,
23,,,,,,13.0
24,,,,,,11.0
25,,,,,,23.0
26,,,,,,25.0
27,,,,,,13.0
28,,,,,,21.0
29,,,,,24.0,
30,9.0,,,,,
31,19.0,,,,,
32,,,,,12.0,
33,,,,,,13.0
34,9.0,,,,,
35,,,,,,9.0
36,,,,,10.0,
37,,,,,,13.0
38,,,,,20.0,
39,,,,,,17.0
40,17.0,,,,,
41,,,,,,19.0
42,,,,,,11.0
43,,,,,,9.0
44,,,,,,11.0
45,,,,,16.0,
46,,,,,,33.0
47,,,,,,13.0
48,,,,,,29.0
49,,,,,22.0,
