,ZERO_started_ZERO_won,UCT_6000_started_ZERO_won,ZERO_started_Tie,UCT_6000_started_Tie,ZERO_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,,13.0
1,,,,,12.0,
2,,,,,12.0,
3,,,,,,13.0
4,,,,,,13.0
5,,,,,12.0,
6,,,,,,11.0
7,,,,,12.0,
8,,10.0,,,,
9,,,,,30.0,
10,,,,,,13.0
11,11.0,,,,,
12,,,,,14.0,
13,,,,,12.0,
14,9.0,,,,,
15,,,,,40.0,
16,,,,,,21.0
17,,,,,18.0,
18,,,,,,23.0
19,,,,,12.0,
20,,,,,,15.0
21,,,,,,15.0
22,,,,,,11.0
23,,,,,12.0,
24,,,,,46.0,
25,11.0,,,,,
26,,,,,,19.0
27,,,,,,13.0
28,11.0,,,,,
29,,,,,12.0,
30,,,,,10.0,
31,,,,,,11.0
32,,,,,,11.0
33,,,,,,11.0
34,,,,,,15.0
35,,,,,,15.0
36,,,,,10.0,
37,,,,,,9.0
38,,,,,12.0,
39,,,,,,13.0
40,,,,,,11.0
41,,,64.0,,,
42,,,,,18.0,
43,,,,,,9.0
44,,,,,,9.0
45,,,,,,9.0
46,,,,,12.0,
47,,,,,22.0,
48,,,,,10.0,
49,,,,,18.0,
