,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v4_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v4_started_Tie,ZEROX_v1_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,16.0,
1,,,,,12.0,
2,17.0,,,,,
3,,,,,,9.0
4,,,,,22.0,
5,,,,,,19.0
6,,,,,,13.0
7,,,,,10.0,
8,,,,,,9.0
9,,,,,,13.0
10,,,,,,13.0
11,,,,,30.0,
12,13.0,,,,,
13,,,,,14.0,
14,,,,,,15.0
15,,,,,12.0,
16,,,,,,11.0
17,,,,,12.0,
18,,,,,,15.0
19,,,,,,13.0
20,,,,,12.0,
21,,,,,18.0,
22,,,,,,9.0
23,,,,,,13.0
24,,,,,,11.0
25,,,,,,13.0
26,,,,,24.0,
27,,,,,,13.0
28,,,,,34.0,
29,,,,,,9.0
30,,,,,12.0,
31,,,,,,9.0
32,,,,,,15.0
33,,,,,20.0,
34,,,,,14.0,
35,,,,,,21.0
36,,,,,,13.0
37,,,,,,13.0
38,,,,,10.0,
39,,,,,,15.0
40,,,,,14.0,
41,,,,,,13.0
42,,,,,,13.0
43,,,,,,9.0
44,,,,,12.0,
45,,,,,12.0,
46,,,,,10.0,
47,,,,,,11.0
48,,,,,12.0,
49,,,,,10.0,
