,FLAT_v4_started_FLAT_v4_won,UCT_1500_started_FLAT_v4_won,FLAT_v4_started_Tie,UCT_1500_started_Tie,FLAT_v4_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,11.0,,,,,
1,9.0,,,,,
2,,,,,,21.0
3,9.0,,,,,
4,9.0,,,,,
5,9.0,,,,,
6,,,,,,17.0
7,,12.0,,,,
8,9.0,,,,,
9,9.0,,,,,
10,9.0,,,,,
11,,10.0,,,,
12,,12.0,,,,
13,,,,,,27.0
14,,18.0,,,,
15,,18.0,,,,
16,,22.0,,,,
17,,16.0,,,,
18,,20.0,,,,
19,9.0,,,,,
20,15.0,,,,,
21,21.0,,,,,
22,,12.0,,,,
23,15.0,,,,,
24,9.0,,,,,
25,9.0,,,,,
26,15.0,,,,,
27,,,,,,9.0
28,,,,,,15.0
29,,,,,28.0,
30,15.0,,,,,
31,9.0,,,,,
32,,20.0,,,,
33,,10.0,,,,
34,,10.0,,,,
35,9.0,,,,,
36,9.0,,,,,
37,,10.0,,,,
38,,10.0,,,,
39,,10.0,,,,
40,9.0,,,,,
41,,22.0,,,,
42,,,,,,13.0
43,,,,,,17.0
44,,,,,,15.0
45,,,,,,11.0
46,,16.0,,,,
47,15.0,,,,,
48,11.0,,,,,
49,9.0,,,,,
