,ZERO_v1_started_ZERO_v1_won,ZERO_v4_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v4_started_Tie,ZERO_v1_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,,,,,,11.0
1,,,,,30.0,
2,,,,,20.0,
3,,,,,16.0,
4,,,,,,45.0
5,,,,,26.0,
6,,,,,12.0,
7,,,,,22.0,
8,,,,,,9.0
9,,56.0,,,,
10,,,,,,13.0
11,,,,,10.0,
12,,,,,,17.0
13,,,,,,11.0
14,,,,,12.0,
15,,,,,18.0,
16,,,,,14.0,
17,,,,,,17.0
18,,,,,16.0,
19,,,,,12.0,
20,,,,,16.0,
21,,,,,,13.0
22,,,,,,17.0
23,,,,,,17.0
24,23.0,,,,,
25,19.0,,,,,
26,,,,,,9.0
27,,,,,,11.0
28,,,,,14.0,
29,,,,,,11.0
30,,,,,18.0,
31,,,,,,11.0
32,,,,,,9.0
33,13.0,,,,,
34,,,,,,9.0
35,,,,,,11.0
36,,,,,,9.0
37,,,,,,11.0
38,,,,,14.0,
39,,,,,24.0,
40,,,,,,11.0
41,,,,,,9.0
42,,,,,14.0,
43,,,,,,13.0
44,,,,,,9.0
45,,,,,,13.0
46,,,,,10.0,
47,,,,,,13.0
48,,,,,,15.0
49,,,,,10.0,
