,FLAT_v3_started_FLAT_v3_won,UCT_4500_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_4500_started_Tie,FLAT_v3_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,28.0,
1,,10.0,,,,
2,,,,,,15.0
3,,,,,,17.0
4,9.0,,,,,
5,9.0,,,,,
6,,,,,,17.0
7,,,,,22.0,
8,,,,,14.0,
9,,,,,,15.0
10,,,,,,23.0
11,9.0,,,,,
12,,,,,24.0,
13,,,,,,23.0
14,,,,,,13.0
15,,12.0,,,,
16,9.0,,,,,
17,,,,,,11.0
18,,,,,38.0,
19,,,,,,17.0
20,,,,,,27.0
21,,10.0,,,,
22,,,,,24.0,
23,9.0,,,,,
24,,,,,,25.0
25,,,,,,27.0
26,,,,,,13.0
27,,,,,22.0,
28,,,,,22.0,
29,,12.0,,,,
30,,,,,,21.0
31,27.0,,,,,
32,,,,,,23.0
33,,,,,40.0,
34,,,,,,21.0
35,,10.0,,,,
36,,,,,,11.0
37,,,,,,13.0
38,,,,,18.0,
39,19.0,,,,,
40,21.0,,,,,
41,,,,,,13.0
42,,,,,,23.0
43,,12.0,,,,
44,,,,,22.0,
45,,,,,,19.0
46,,,,,28.0,
47,,,,,14.0,
48,,,,,,15.0
49,,,,,,15.0
