,FLAT_v5_started_FLAT_v5_won,UCT_4500_started_FLAT_v5_won,FLAT_v5_started_Tie,UCT_4500_started_Tie,FLAT_v5_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,12.0,
1,,,,,,15.0
2,,,,,14.0,
3,,10.0,,,,
4,,,,,,17.0
5,,,,,,27.0
6,9.0,,,,,
7,21.0,,,,,
8,,,,,30.0,
9,,,,,,19.0
10,,12.0,,,,
11,,,,,30.0,
12,,,,,,17.0
13,,10.0,,,,
14,9.0,,,,,
15,,,,,16.0,
16,,10.0,,,,
17,,,,,20.0,
18,,,,,,19.0
19,17.0,,,,,
20,9.0,,,,,
21,,,,,20.0,
22,,,,,,15.0
23,,10.0,,,,
24,9.0,,,,,
25,,,,,16.0,
26,,,,,,21.0
27,,,,,16.0,
28,,,,,,19.0
29,9.0,,,,,
30,19.0,,,,,
31,,12.0,,,,
32,,,,,,13.0
33,,,,,,23.0
34,,,,,,21.0
35,,14.0,,,,
36,,,,,,19.0
37,,,,,,19.0
38,,14.0,,,,
39,,,,,,19.0
40,11.0,,,,,
41,,,,,20.0,
42,9.0,,,,,
43,,14.0,,,,
44,11.0,,,,,
45,,,,,14.0,
46,,,,,14.0,
47,,12.0,,,,
48,,,,,,27.0
49,,10.0,,,,
