,FLAT_v2_started_FLAT_v2_won,ZEROX_v2_started_FLAT_v2_won,FLAT_v2_started_Tie,ZEROX_v2_started_Tie,FLAT_v2_started_ZEROX_v2_won,ZEROX_v2_started_ZEROX_v2_won
0,,,,,14.0,
1,,,,,,33.0
2,,,,,16.0,
3,,,,,12.0,
4,,,,,,15.0
5,,,,,10.0,
6,,,,,,11.0
7,,,,,24.0,
8,,,,,22.0,
9,,,,,,21.0
10,,,,,16.0,
11,,,,,,31.0
12,,,,,,23.0
13,,,,,12.0,
14,,,,,12.0,
15,,,,,,21.0
16,,,,,14.0,
17,,,,,12.0,
18,,,,,16.0,
19,,,,,10.0,
20,,,,,,23.0
21,,,,,,13.0
22,13.0,,,,,
23,,,,,14.0,
24,,,,,16.0,
25,,,,,30.0,
26,,,,,,17.0
27,,,,,,19.0
28,,,,,18.0,
29,,,,,20.0,
30,,,,,18.0,
31,,,,,28.0,
32,,44.0,,,,
33,,,,,,31.0
34,,,,,,13.0
35,,,,,,33.0
36,,,,,30.0,
37,,,,,16.0,
38,13.0,,,,,
39,17.0,,,,,
40,,,,,,27.0
41,,,,,16.0,
42,,,,,32.0,
43,,,,,28.0,
44,,,,,16.0,
45,,,,,12.0,
46,,,,,10.0,
47,,,,,30.0,
48,,,,,,33.0
49,,,,,12.0,
