,FLAT_v4_started_FLAT_v4_won,ZEROX_v4_started_FLAT_v4_won,FLAT_v4_started_Tie,ZEROX_v4_started_Tie,FLAT_v4_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,,15.0
1,,,,,,13.0
2,,,,,,11.0
3,,,,,,15.0
4,,,,,38.0,
5,,,,,22.0,
6,,,,,,21.0
7,,,,,,13.0
8,,,,,,29.0
9,,,,,,13.0
10,,,,,20.0,
11,,,,,14.0,
12,,,,,22.0,
13,,,,,14.0,
14,,,,,,19.0
15,,,,,18.0,
16,,,,,12.0,
17,,,,,,17.0
18,17.0,,,,,
19,,,,,,13.0
20,,,,,,59.0
21,,,,,12.0,
22,,,,,,31.0
23,,,,,18.0,
24,,,,,,17.0
25,,,,,16.0,
26,,,,,20.0,
27,,,,,,27.0
28,,,,,,13.0
29,,,,,18.0,
30,,,,,38.0,
31,,,,,12.0,
32,,,,,,13.0
33,13.0,,,,,
34,,,,,,13.0
35,,,,,12.0,
36,,,,,,13.0
37,,,,,,15.0
38,,,,,,17.0
39,,,,,20.0,
40,,,,,14.0,
41,,,,,,31.0
42,,,,,16.0,
43,,,,,14.0,
44,,,,,24.0,
45,,,,,,17.0
46,,,,,,17.0
47,,,,,,15.0
48,,,,,34.0,
49,,,,,,15.0
