,ZEROX_v2_started_ZEROX_v2_won,UCT_4500_started_ZEROX_v2_won,ZEROX_v2_started_Tie,UCT_4500_started_Tie,ZEROX_v2_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,11.0,,,,,
1,,,,,14.0,
2,,,,,22.0,
3,,,,,,29.0
4,,,,64.0,,
5,,,,,,13.0
6,,,,,18.0,
7,9.0,,,,,
8,,10.0,,,,
9,,,,,,15.0
10,,,,,12.0,
11,,,,,10.0,
12,,,,,,43.0
13,,,,,,23.0
14,,,,,,25.0
15,,,,,,21.0
16,,20.0,,,,
17,,,,,18.0,
18,,,,,18.0,
19,,,,,14.0,
20,,,,,12.0,
21,,,,,,17.0
22,,,,,,19.0
23,,,,,,23.0
24,,,,,18.0,
25,15.0,,,,,
26,,,,,,11.0
27,15.0,,,,,
28,,,,,10.0,
29,,16.0,,,,
30,,,,,,17.0
31,11.0,,,,,
32,,,,,,15.0
33,11.0,,,,,
34,,,,64.0,,
35,,,,,,15.0
36,,,,,,21.0
37,,,,,,27.0
38,,,,,,29.0
39,17.0,,,,,
40,,,,,,19.0
41,,,,,,19.0
42,,,,,18.0,
43,,,,,,17.0
44,,,,,,41.0
45,13.0,,,,,
46,,,,,,11.0
47,,,,,32.0,
48,,,,,14.0,
49,,,,,,27.0
