,ZERO_v1_started_ZERO_v1_won,UCT_6000_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_6000_started_Tie,ZERO_v1_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,,11.0
1,,,,,,11.0
2,,,,,,27.0
3,,,,,14.0,
4,,,,,,15.0
5,11.0,,,,,
6,,,,,,11.0
7,,,,,14.0,
8,,,,,,13.0
9,,,,,10.0,
10,,,,,10.0,
11,,,,,10.0,
12,,,,,,17.0
13,9.0,,,,,
14,,,,,,13.0
15,,,,,,9.0
16,,,,,,9.0
17,,,,,,11.0
18,,,,,,17.0
19,9.0,,,,,
20,,,,,,19.0
21,11.0,,,,,
22,,,,,16.0,
23,,,,,10.0,
24,,,,,,9.0
25,,,,,,11.0
26,,,,,,27.0
27,,,,,,19.0
28,,,,,,11.0
29,,,,,,33.0
30,,,,,,17.0
31,,,,,10.0,
32,,,,,,17.0
33,,,,,,13.0
34,,,,,10.0,
35,15.0,,,,,
36,,,,,12.0,
37,,,,,,21.0
38,,,,,,9.0
39,,,,,,21.0
40,,,,,,19.0
41,,,,,20.0,
42,,,,,16.0,
43,,,,,,27.0
44,,,,,,11.0
45,,,,,10.0,
46,,,,,,21.0
47,,,,,,13.0
48,,,,,10.0,
49,15.0,,,,,
