,ZERO_v1_started_ZERO_v1_won,ZERO_v5_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v5_started_Tie,ZERO_v1_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,,,,,,9.0
1,,,,,14.0,
2,,,,,12.0,
3,,,,,14.0,
4,,,,,10.0,
5,,,,,,9.0
6,,,,,16.0,
7,,,,,18.0,
8,,,,,,9.0
9,,,,,14.0,
10,,,,,10.0,
11,,,,,16.0,
12,,,,,14.0,
13,,,,,,11.0
14,,,,,,9.0
15,,,,,,9.0
16,,,,,,11.0
17,,,,,,15.0
18,,,,,,21.0
19,,,,,14.0,
20,,,,,,9.0
21,,,,,,25.0
22,,,,,10.0,
23,,,,,12.0,
24,,,,,12.0,
25,,,,,,11.0
26,,,,,,13.0
27,,,,,,15.0
28,,12.0,,,,
29,,,,,12.0,
30,,,,,10.0,
31,,,,,,11.0
32,,,,,14.0,
33,,,,,10.0,
34,,,,,,13.0
35,,,,,,11.0
36,,,,,,17.0
37,,,,,,11.0
38,,,,,14.0,
39,,,,,,11.0
40,,,,,26.0,
41,,,,,26.0,
42,,,,,,9.0
43,,,,,,17.0
44,,,,,12.0,
45,,,,,,13.0
46,,,,,,11.0
47,23.0,,,,,
48,,,,,10.0,
49,,,,,16.0,
