,FLAT_v5_started_FLAT_v5_won,ZEROX_v5_started_FLAT_v5_won,FLAT_v5_started_Tie,ZEROX_v5_started_Tie,FLAT_v5_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,,,14.0,
1,,,,,,23.0
2,,,,,14.0,
3,11.0,,,,,
4,,,,,,9.0
5,,,,,14.0,
6,,,,,16.0,
7,,,,,24.0,
8,13.0,,,,,
9,,,,,,9.0
10,,,,,,11.0
11,,,,,,25.0
12,,,,,14.0,
13,,,,,16.0,
14,,,,,,15.0
15,,,,,,21.0
16,,,,,,17.0
17,,,,,14.0,
18,,,,,14.0,
19,,,,,14.0,
20,,,,,24.0,
21,,,,,,37.0
22,,,,,,17.0
23,,,,,,11.0
24,,,,,,13.0
25,,,,,,21.0
26,,,,,,19.0
27,,,,64.0,,
28,,,,,16.0,
29,,,,,,17.0
30,,,,,,17.0
31,,,,,,19.0
32,,,,,,27.0
33,,,,,16.0,
34,,,,,16.0,
35,,,,,,27.0
36,,,,,16.0,
37,,,,,,19.0
38,,,,,,11.0
39,,,,,,21.0
40,,,,,20.0,
41,,,,,,13.0
42,,,,,14.0,
43,,,,,,17.0
44,,,,,12.0,
45,,,,64.0,,
46,,,,,46.0,
47,,,,,,15.0
48,,,,,,15.0
49,,,,,18.0,
