,ZEROX_v4_started_ZEROX_v4_won,ZEROX_v5_started_ZEROX_v4_won,ZEROX_v4_started_Tie,ZEROX_v5_started_Tie,ZEROX_v4_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,,,,33.0
1,,,64.0,,,
2,15.0,,,,,
3,,,64.0,,,
4,,14.0,,,,
5,,,,64.0,,
6,,18.0,,,,
7,,,,,,21.0
8,,,,64.0,,
9,,,,,,23.0
10,,30.0,,,,
11,,,,,,11.0
12,,,,,,25.0
13,,,64.0,,,
14,27.0,,,,,
15,,,,,,23.0
16,,,,,,13.0
17,,,,64.0,,
18,,,64.0,,,
19,,,,,,15.0
20,,,64.0,,,
21,,,,,16.0,
22,,,,64.0,,
23,15.0,,,,,
24,,,64.0,,,
25,,,,,10.0,
26,,,,,,17.0
27,25.0,,,,,
28,,,,64.0,,
29,,,,,,19.0
30,,,64.0,,,
31,,,64.0,,,
32,,,,,,25.0
33,31.0,,,,,
34,31.0,,,,,
35,11.0,,,,,
36,,,64.0,,,
37,,,,,,11.0
38,15.0,,,,,
39,,16.0,,,,
40,,28.0,,,,
41,,,64.0,,,
42,,,64.0,,,
43,,,,,,23.0
44,,,,,34.0,
45,,,64.0,,,
46,,,,64.0,,
47,,,,,26.0,
48,,,,,,27.0
49,,,,64.0,,
