,FLAT_v4_started_FLAT_v4_won,FLAT_v5_started_FLAT_v4_won,FLAT_v4_started_Tie,FLAT_v5_started_Tie,FLAT_v4_started_FLAT_v5_won,FLAT_v5_started_FLAT_v5_won
0,27.0,,,,,
1,,16.0,,,,
2,,12.0,,,,
3,,18.0,,,,
4,15.0,,,,,
5,,,,,18.0,
6,,,,,10.0,
7,,24.0,,,,
8,9.0,,,,,
9,,20.0,,,,
10,11.0,,,,,
11,13.0,,,,,
12,13.0,,,,,
13,,16.0,,,,
14,23.0,,,,,
15,,,,,,29.0
16,,,,,34.0,
17,,,,,,17.0
18,,22.0,,,,
19,,,,,,19.0
20,,,,,,11.0
21,,,,,16.0,
22,,,,,,25.0
23,,16.0,,,,
24,,,,,,23.0
25,,,,,10.0,
26,,,,,,17.0
27,,16.0,,,,
28,,,,,,11.0
29,,16.0,,,,
30,,,,,28.0,
31,,,,,10.0,
32,,,64.0,,,
33,,,,,14.0,
34,17.0,,,,,
35,,24.0,,,,
36,11.0,,,,,
37,,,,,,15.0
38,15.0,,,,,
39,,,,,10.0,
40,,10.0,,,,
41,,,,,,17.0
42,,,,,16.0,
43,,,,,40.0,
44,11.0,,,,,
45,,16.0,,,,
46,11.0,,,,,
47,,,,,10.0,
48,,,,,28.0,
49,,,,,,29.0
