,ZERO_v3_started_ZERO_v3_won,UCT_1500_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_1500_started_Tie,ZERO_v3_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,9.0,,,,,
1,,10.0,,,,
2,9.0,,,,,
3,9.0,,,,,
4,,10.0,,,,
5,,14.0,,,,
6,,10.0,,,,
7,,12.0,,,,
8,9.0,,,,,
9,15.0,,,,,
10,17.0,,,,,
11,,,,,,27.0
12,,,,,,23.0
13,23.0,,,,,
14,9.0,,,,,
15,,12.0,,,,
16,9.0,,,,,
17,9.0,,,,,
18,,12.0,,,,
19,9.0,,,,,
20,9.0,,,,,
21,9.0,,,,,
22,9.0,,,,,
23,9.0,,,,,
24,,16.0,,,,
25,9.0,,,,,
26,9.0,,,,,
27,9.0,,,,,
28,9.0,,,,,
29,15.0,,,,,
30,19.0,,,,,
31,9.0,,,,,
32,,18.0,,,,
33,,,,64.0,,
34,,12.0,,,,
35,,,,,,23.0
36,,16.0,,,,
37,,,,,,11.0
38,9.0,,,,,
39,,16.0,,,,
40,9.0,,,,,
41,9.0,,,,,
42,,26.0,,,,
43,11.0,,,,,
44,,10.0,,,,
45,9.0,,,,,
46,,10.0,,,,
47,9.0,,,,,
48,,,,,34.0,
49,9.0,,,,,
