,ZERO_v3_started_ZERO_v3_won,ZERO_v5_started_ZERO_v3_won,ZERO_v3_started_Tie,ZERO_v5_started_Tie,ZERO_v3_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,,22.0,,,,
1,,,,,,9.0
2,,,,,,15.0
3,,,,,20.0,
4,21.0,,,,,
5,,,64.0,,,
6,23.0,,,,,
7,,,64.0,,,
8,,,64.0,,,
9,,,,,32.0,
10,,,64.0,,,
11,,,64.0,,,
12,,,,,,35.0
13,,,64.0,,,
14,,,,,,31.0
15,33.0,,,,,
16,,,64.0,,,
17,29.0,,,,,
18,,,,,,15.0
19,31.0,,,,,
20,,,,,,11.0
21,21.0,,,,,
22,,,64.0,,,
23,,14.0,,,,
24,,,,,22.0,
25,33.0,,,,,
26,19.0,,,,,
27,,,64.0,,,
28,,,64.0,,,
29,,32.0,,,,
30,53.0,,,,,
31,,,,,,11.0
32,,,,,,9.0
33,,,,,,11.0
34,,,,,,17.0
35,,,,,,13.0
36,,,,,,15.0
37,,,,,,23.0
38,,,,,,25.0
39,,,,,,27.0
40,,,,,,33.0
41,31.0,,,,,
42,,20.0,,,,
43,,,,,,27.0
44,,,,,22.0,
45,,,,64.0,,
46,,,,,22.0,
47,,22.0,,,,
48,,,64.0,,,
49,29.0,,,,,
