,ZEROX_v3_started_ZEROX_v3_won,UCT_3000_started_ZEROX_v3_won,ZEROX_v3_started_Tie,UCT_3000_started_Tie,ZEROX_v3_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,,31.0
1,9.0,,,,,
2,,12.0,,,,
3,9.0,,,,,
4,15.0,,,,,
5,15.0,,,,,
6,9.0,,,,,
7,,10.0,,,,
8,,,,,,13.0
9,,,,,34.0,
10,,,,,,23.0
11,,,,,42.0,
12,,,,,,25.0
13,9.0,,,,,
14,,,,,,19.0
15,,,,,,35.0
16,,10.0,,,,
17,,,,,,25.0
18,,14.0,,,,
19,,14.0,,,,
20,,,,,20.0,
21,,12.0,,,,
22,,,,64.0,,
23,,,,,24.0,
24,15.0,,,,,
25,,,,,,19.0
26,9.0,,,,,
27,17.0,,,,,
28,11.0,,,,,
29,19.0,,,,,
30,19.0,,,,,
31,23.0,,,,,
32,,,,,,21.0
33,9.0,,,,,
34,9.0,,,,,
35,9.0,,,,,
36,9.0,,,,,
37,,,,,,41.0
38,,,,,,27.0
39,9.0,,,,,
40,,20.0,,,,
41,33.0,,,,,
42,,,,,,33.0
43,9.0,,,,,
44,,,,,,27.0
45,15.0,,,,,
46,23.0,,,,,
47,,12.0,,,,
48,15.0,,,,,
49,,,,,24.0,
