,ZEROX_v3_started_ZEROX_v3_won,ZEROX_v5_started_ZEROX_v3_won,ZEROX_v3_started_Tie,ZEROX_v5_started_Tie,ZEROX_v3_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,27.0,,,,,
1,,,,64.0,,
2,,,,64.0,,
3,,,64.0,,,
4,,,64.0,,,
5,,,64.0,,,
6,,,,,,11.0
7,25.0,,,,,
8,,,64.0,,,
9,,,,,,17.0
10,,,,64.0,,
11,,18.0,,,,
12,,26.0,,,,
13,,,,,,11.0
14,,,,,,11.0
15,,20.0,,,,
16,,,,,,15.0
17,27.0,,,,,
18,,24.0,,,,
19,,26.0,,,,
20,,,,,14.0,
21,,,64.0,,,
22,,,64.0,,,
23,,,,64.0,,
24,19.0,,,,,
25,,,,64.0,,
26,,,,,,15.0
27,,18.0,,,,
28,,,,,,41.0
29,,,,,,9.0
30,25.0,,,,,
31,,,,,24.0,
32,,,64.0,,,
33,19.0,,,,,
34,25.0,,,,,
35,23.0,,,,,
36,,,,,,33.0
37,,,,,,27.0
38,,,,,,19.0
39,,,64.0,,,
40,,,,,20.0,
41,,,,,,27.0
42,,,64.0,,,
43,,,,,40.0,
44,25.0,,,,,
45,49.0,,,,,
46,,,,,,11.0
47,,,,,,15.0
48,29.0,,,,,
49,,22.0,,,,
