,ZERO_v4_started_ZERO_v4_won,ZERO_v5_started_ZERO_v4_won,ZERO_v4_started_Tie,ZERO_v5_started_Tie,ZERO_v4_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,,14.0,,,,
1,,,64.0,,,
2,19.0,,,,,
3,,14.0,,,,
4,,18.0,,,,
5,,,,,,13.0
6,,,,,42.0,
7,15.0,,,,,
8,,14.0,,,,
9,,,,,14.0,
10,,,,,16.0,
11,,,64.0,,,
12,,,64.0,,,
13,17.0,,,,,
14,,,,,,31.0
15,13.0,,,,,
16,11.0,,,,,
17,,,,64.0,,
18,,,,,36.0,
19,,,64.0,,,
20,,,,,18.0,
21,,,,,,9.0
22,,,,,,23.0
23,,,,,,15.0
24,31.0,,,,,
25,11.0,,,,,
26,,,,,,31.0
27,,,,,,11.0
28,,32.0,,,,
29,,,64.0,,,
30,,,64.0,,,
31,25.0,,,,,
32,,,,64.0,,
33,,,,,30.0,
34,,,,,,11.0
35,17.0,,,,,
36,,,,,,13.0
37,23.0,,,,,
38,,,,,32.0,
39,25.0,,,,,
40,,28.0,,,,
41,,,64.0,,,
42,,36.0,,,,
43,33.0,,,,,
44,,38.0,,,,
45,,,64.0,,,
46,,,,,,15.0
47,21.0,,,,,
48,,20.0,,,,
49,,,,,,11.0
