,FLAT_v5_started_FLAT_v5_won,UCT_6000_started_FLAT_v5_won,FLAT_v5_started_Tie,UCT_6000_started_Tie,FLAT_v5_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,34.0,
1,,,,,,25.0
2,,,,,16.0,
3,,,,,26.0,
4,,,,,12.0,
5,,,,,16.0,
6,,,,,14.0,
7,,,,,,13.0
8,,,,,20.0,
9,,,,,24.0,
10,,,,,18.0,
11,,,,,12.0,
12,,,,,,27.0
13,11.0,,,,,
14,,,,,12.0,
15,,10.0,,,,
16,,,,,28.0,
17,,,,,,25.0
18,,,,,,13.0
19,,,,,18.0,
20,9.0,,,,,
21,,,,,,21.0
22,,,,,24.0,
23,,,,,,13.0
24,17.0,,,,,
25,9.0,,,,,
26,,,,,,17.0
27,,,,,,25.0
28,,,,,,23.0
29,,,,,14.0,
30,,,,,,9.0
31,,,,,28.0,
32,,10.0,,,,
33,,,,,14.0,
34,,,,,,29.0
35,9.0,,,,,
36,,,,,,25.0
37,,,,,,11.0
38,,,,,,31.0
39,21.0,,,,,
40,,,,,,31.0
41,,,,,,9.0
42,,,,,30.0,
43,,,,,12.0,
44,13.0,,,,,
45,,,,,,31.0
46,,,,,22.0,
47,,,,,,19.0
48,,,,,,15.0
49,,,,,,23.0
