,FLAT_v2_started_FLAT_v2_won,ZERO_v2_started_FLAT_v2_won,FLAT_v2_started_Tie,ZERO_v2_started_Tie,FLAT_v2_started_ZERO_v2_won,ZERO_v2_started_ZERO_v2_won
0,,,,,22.0,
1,,,,,26.0,
2,,,,,22.0,
3,,,,,,27.0
4,,,,,,17.0
5,,,,,,25.0
6,13.0,,,,,
7,,,,,,57.0
8,,24.0,,,,
9,,,,64.0,,
10,,,,,,17.0
11,,,,,34.0,
12,,,,,18.0,
13,,,,,,35.0
14,,,,,24.0,
15,23.0,,,,,
16,,,,,,15.0
17,,,,,38.0,
18,,,,,,17.0
19,,,,,18.0,
20,,,,,54.0,
21,,,,,20.0,
22,,,,,,35.0
23,,,,,,13.0
24,,,,,,11.0
25,13.0,,,,,
26,,,,,,13.0
27,13.0,,,,,
28,,,,,12.0,
29,13.0,,,,,
30,,,,,,59.0
31,,,,,22.0,
32,,,,,,13.0
33,,,,,22.0,
34,,,,,,29.0
35,,,,,60.0,
36,,,,,,25.0
37,,38.0,,,,
38,,,,,16.0,
39,,,,,,35.0
40,,,,,,23.0
41,,,,,10.0,
42,,,,,10.0,
43,,,,,,15.0
44,,,,,22.0,
45,,,,,,27.0
46,,,,,,17.0
47,,,,,,61.0
48,15.0,,,,,
49,,,,,20.0,
