,ZEROX_v4_started_ZEROX_v4_won,UCT_1500_started_ZEROX_v4_won,ZEROX_v4_started_Tie,UCT_1500_started_Tie,ZEROX_v4_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,19.0,,,,,
1,11.0,,,,,
2,,,,,,17.0
3,9.0,,,,,
4,,14.0,,,,
5,,12.0,,,,
6,,,,,,37.0
7,,18.0,,,,
8,,18.0,,,,
9,13.0,,,,,
10,,14.0,,,,
11,29.0,,,,,
12,,24.0,,,,
13,11.0,,,,,
14,,20.0,,,,
15,9.0,,,,,
16,15.0,,,,,
17,15.0,,,,,
18,,14.0,,,,
19,13.0,,,,,
20,13.0,,,,,
21,11.0,,,,,
22,11.0,,,,,
23,,,,,,27.0
24,19.0,,,,,
25,,22.0,,,,
26,,,,,12.0,
27,,10.0,,,,
28,,24.0,,,,
29,,12.0,,,,
30,,,,,,39.0
31,,,,,,33.0
32,9.0,,,,,
33,13.0,,,,,
34,15.0,,,,,
35,,24.0,,,,
36,9.0,,,,,
37,,,64.0,,,
38,,,,,42.0,
39,,10.0,,,,
40,11.0,,,,,
41,,14.0,,,,
42,11.0,,,,,
43,,14.0,,,,
44,13.0,,,,,
45,19.0,,,,,
46,,10.0,,,,
47,,,,,,25.0
48,11.0,,,,,
49,,10.0,,,,
