,FLAT_v2_started_FLAT_v2_won,UCT_4500_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_4500_started_Tie,FLAT_v2_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,10.0,,,,
1,,,,,16.0,
2,,,,,12.0,
3,,,,,,19.0
4,,,,,,13.0
5,,,,,,13.0
6,,,,,12.0,
7,,10.0,,,,
8,,,,,12.0,
9,,,,,,13.0
10,,,,,,15.0
11,,,,,12.0,
12,,16.0,,,,
13,,,,,18.0,
14,,,,,16.0,
15,,,,,12.0,
16,,,,,14.0,
17,15.0,,,,,
18,,,,,,11.0
19,,,,,,17.0
20,11.0,,,,,
21,,,,,,17.0
22,,,,,18.0,
23,9.0,,,,,
24,9.0,,,,,
25,,,,,,15.0
26,11.0,,,,,
27,,,,,,13.0
28,9.0,,,,,
29,,,,,,11.0
30,,,,,,13.0
31,13.0,,,,,
32,,,,,26.0,
33,,,,,,11.0
34,,,,,18.0,
35,,16.0,,,,
36,,,,,,15.0
37,,,,,20.0,
38,,,,,26.0,
39,,,,,22.0,
40,,,,,,9.0
41,,,,,20.0,
42,,,,,,17.0
43,,,,,18.0,
44,,,,,,13.0
45,,12.0,,,,
46,,,,,,27.0
47,,,,,,11.0
48,,,,,12.0,
49,,,,,12.0,
