,ZEROX_v3_started_ZEROX_v3_won,UCT_4500_started_ZEROX_v3_won,ZEROX_v3_started_Tie,UCT_4500_started_Tie,ZEROX_v3_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,30.0,
1,,20.0,,,,
2,,,,,,25.0
3,9.0,,,,,
4,23.0,,,,,
5,,,,,,37.0
6,,,,,,23.0
7,,10.0,,,,
8,9.0,,,,,
9,25.0,,,,,
10,,,,,,21.0
11,,,,,,25.0
12,,,,,,25.0
13,,,,,,13.0
14,,,,,,49.0
15,,,,,,47.0
16,,14.0,,,,
17,,20.0,,,,
18,,10.0,,,,
19,9.0,,,,,
20,,,,,,25.0
21,,,,,,23.0
22,9.0,,,,,
23,23.0,,,,,
24,,,,,46.0,
25,,14.0,,,,
26,11.0,,,,,
27,,,,,,23.0
28,9.0,,,,,
29,,10.0,,,,
30,11.0,,,,,
31,9.0,,,,,
32,,,,,32.0,
33,,,,,,31.0
34,,,,,,37.0
35,,,,,,21.0
36,,,,,,23.0
37,,,,,,27.0
38,,10.0,,,,
39,,,,,,35.0
40,,16.0,,,,
41,,,,,,17.0
42,19.0,,,,,
43,,14.0,,,,
44,,34.0,,,,
45,,10.0,,,,
46,,,,,,19.0
47,21.0,,,,,
48,9.0,,,,,
49,9.0,,,,,
