,FLAT_v4_started_FLAT_v4_won,UCT_4500_started_FLAT_v4_won,FLAT_v4_started_Tie,UCT_4500_started_Tie,FLAT_v4_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,16.0,,,,
1,,,,,44.0,
2,,,,,,21.0
3,,20.0,,,,
4,,,,,26.0,
5,,,,,,29.0
6,,,,,,21.0
7,,,,,,11.0
8,,16.0,,,,
9,,,,,,23.0
10,,,,,,19.0
11,,,,,,21.0
12,,,,,,27.0
13,,,,,18.0,
14,,,,,,21.0
15,15.0,,,,,
16,,12.0,,,,
17,,10.0,,,,
18,,10.0,,,,
19,9.0,,,,,
20,,,,,,31.0
21,,10.0,,,,
22,9.0,,,,,
23,15.0,,,,,
24,,,,,24.0,
25,,10.0,,,,
26,,,,,34.0,
27,,22.0,,,,
28,,,,,,13.0
29,,,,,,13.0
30,,,,,,17.0
31,,,,,,15.0
32,,,,,,23.0
33,9.0,,,,,
34,,,,,,15.0
35,,,,,,17.0
36,,,,,26.0,
37,,,,,,27.0
38,,10.0,,,,
39,,,,,,17.0
40,9.0,,,,,
41,,,,,26.0,
42,,,,,36.0,
43,,,,,20.0,
44,11.0,,,,,
45,,,,,,15.0
46,29.0,,,,,
47,15.0,,,,,
48,,,,,14.0,
49,9.0,,,,,
