,ZERO_v4_started_ZERO_v4_won,UCT_3000_started_ZERO_v4_won,ZERO_v4_started_Tie,UCT_3000_started_Tie,ZERO_v4_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,12.0,,,,
1,11.0,,,,,
2,,12.0,,,,
3,,,64.0,,,
4,9.0,,,,,
5,11.0,,,,,
6,,,,,32.0,
7,,,64.0,,,
8,,,,,,23.0
9,21.0,,,,,
10,,26.0,,,,
11,,10.0,,,,
12,9.0,,,,,
13,,,,,,21.0
14,,,,,16.0,
15,,10.0,,,,
16,25.0,,,,,
17,,,,64.0,,
18,37.0,,,,,
19,11.0,,,,,
20,,,,,28.0,
21,,,,,,33.0
22,11.0,,,,,
23,15.0,,,,,
24,9.0,,,,,
25,,,64.0,,,
26,,18.0,,,,
27,,,,,22.0,
28,11.0,,,,,
29,9.0,,,,,
30,,,,,,29.0
31,,,64.0,,,
32,,,,,,17.0
33,,,,64.0,,
34,11.0,,,,,
35,,10.0,,,,
36,11.0,,,,,
37,,,,,28.0,
38,,18.0,,,,
39,13.0,,,,,
40,,14.0,,,,
41,11.0,,,,,
42,,,,,34.0,
43,,,64.0,,,
44,,,,,,25.0
45,19.0,,,,,
46,,,,,26.0,
47,,20.0,,,,
48,23.0,,,,,
49,,,,,24.0,
