,ZERO_v4_started_ZERO_v4_won,UCT_6000_started_ZERO_v4_won,ZERO_v4_started_Tie,UCT_6000_started_Tie,ZERO_v4_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,16.0,,,,
1,,,,,22.0,
2,,,64.0,,,
3,,,,,,13.0
4,,10.0,,,,
5,,,,,,23.0
6,,,,,,29.0
7,,,64.0,,,
8,19.0,,,,,
9,,10.0,,,,
10,,,,,,37.0
11,,,,,,21.0
12,,12.0,,,,
13,,,,,,17.0
14,,,,,,25.0
15,,,,,22.0,
16,,,,,,37.0
17,,,,,34.0,
18,13.0,,,,,
19,,,,,32.0,
20,,,64.0,,,
21,,,,,16.0,
22,,,,,,17.0
23,,,,,44.0,
24,,,,,,29.0
25,17.0,,,,,
26,11.0,,,,,
27,,,,,26.0,
28,,,,,34.0,
29,,,,,26.0,
30,,,,,32.0,
31,,,64.0,,,
32,,,64.0,,,
33,,,,64.0,,
34,,12.0,,,,
35,,,,,,47.0
36,,14.0,,,,
37,,,,,40.0,
38,,,,,,31.0
39,,,,,,37.0
40,15.0,,,,,
41,,10.0,,,,
42,13.0,,,,,
43,,,,,44.0,
44,,14.0,,,,
45,,,,,34.0,
46,,,,64.0,,
47,,18.0,,,,
48,,,,,,21.0
49,11.0,,,,,
