,ZERO_v1_started_ZERO_v1_won,ZERO_v3_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v3_started_Tie,ZERO_v1_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,,,,,,11.0
1,,,,,12.0,
2,,,,,16.0,
3,,,,,10.0,
4,,,,,,13.0
5,,,,,,11.0
6,,,,,,33.0
7,,,,,,31.0
8,,,,,12.0,
9,,,,,,11.0
10,,,,,10.0,
11,11.0,,,,,
12,,,,,12.0,
13,,,,,,9.0
14,,,,,12.0,
15,,,,,10.0,
16,,,,,,17.0
17,,,,,,17.0
18,,,,,12.0,
19,,,,,10.0,
20,,,,,14.0,
21,,,,,20.0,
22,,,,,,11.0
23,,,,,,31.0
24,,,,,,11.0
25,,,,,,19.0
26,,,,,,11.0
27,,,,,,9.0
28,,,,,,15.0
29,,,,,,13.0
30,,,,,14.0,
31,,,,,,9.0
32,,,,64.0,,
33,,,,,12.0,
34,,,,,10.0,
35,,,,,,11.0
36,,,,,,11.0
37,,,,,,11.0
38,,,,,10.0,
39,,,,,10.0,
40,,,,,12.0,
41,,,,,,11.0
42,,,,,,11.0
43,,,,,20.0,
44,,,,,,17.0
45,,,,,,45.0
46,35.0,,,,,
47,,,,,,11.0
48,,,,,14.0,
49,,,,,12.0,
