,ZEROX_v3_started_ZEROX_v3_won,ZEROX_v4_started_ZEROX_v3_won,ZEROX_v3_started_Tie,ZEROX_v4_started_Tie,ZEROX_v3_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,,45.0
1,31.0,,,,,
2,,,,64.0,,
3,,42.0,,,,
4,,,64.0,,,
5,,,,64.0,,
6,27.0,,,,,
7,,,64.0,,,
8,,,,,,13.0
9,13.0,,,,,
10,,,64.0,,,
11,,,,64.0,,
12,,30.0,,,,
13,53.0,,,,,
14,15.0,,,,,
15,,,,,22.0,
16,,,,,,35.0
17,,,,,,33.0
18,,,,,,43.0
19,,26.0,,,,
20,,,,,32.0,
21,,,,,,17.0
22,,,,,16.0,
23,31.0,,,,,
24,,28.0,,,,
25,,,,64.0,,
26,,,,,,49.0
27,,,,,,25.0
28,,,64.0,,,
29,13.0,,,,,
30,21.0,,,,,
31,31.0,,,,,
32,,,,,46.0,
33,,,,,,17.0
34,,,,,22.0,
35,,,,,10.0,
36,,,,,,21.0
37,,,,,,41.0
38,,,,64.0,,
39,,,,64.0,,
40,31.0,,,,,
41,,,,,,21.0
42,,,,,,55.0
43,,,,64.0,,
44,,,64.0,,,
45,,26.0,,,,
46,,34.0,,,,
47,,,,,,11.0
48,29.0,,,,,
49,35.0,,,,,
