,FLAT_started_FLAT_won,UCT_6000_started_FLAT_won,FLAT_started_Tie,UCT_6000_started_Tie,FLAT_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,28.0,
1,,,,,,11.0
2,,,,,,11.0
3,,,,,,19.0
4,,14.0,,,,
5,,,,,12.0,
6,,,,,,11.0
7,,,,,,17.0
8,,,,,10.0,
9,,,,,,9.0
10,,,,,,9.0
11,,,,,20.0,
12,27.0,,,,,
13,,,,,,9.0
14,13.0,,,,,
15,,,,,16.0,
16,,,,,10.0,
17,,,,,14.0,
18,,,,,,9.0
19,,,,,,9.0
20,9.0,,,,,
21,,,,,10.0,
22,,,,,,19.0
23,,,,,,9.0
24,,,,,10.0,
25,,,,,,11.0
26,,,,,14.0,
27,,,,,,15.0
28,,,,,12.0,
29,,,,,18.0,
30,,,,,,13.0
31,,,,,14.0,
32,,,,,,9.0
33,,,,,10.0,
34,,,,,,9.0
35,,,,,,13.0
36,,,,,10.0,
37,,,,,,21.0
38,,,,,,13.0
39,,,,,10.0,
40,,,,,,9.0
41,,,,,14.0,
42,,,,,20.0,
43,,,,,,25.0
44,21.0,,,,,
45,,,,,,13.0
46,,,,,,19.0
47,,,,,12.0,
48,,,,,16.0,
49,9.0,,,,,
