,FLAT_v1_started_FLAT_v1_won,ZEROX_v1_started_FLAT_v1_won,FLAT_v1_started_Tie,ZEROX_v1_started_Tie,FLAT_v1_started_ZEROX_v1_won,ZEROX_v1_started_ZEROX_v1_won
0,,,,,18.0,
1,,,,,,23.0
2,,,,,12.0,
3,,,,,18.0,
4,,,,,16.0,
5,27.0,,,,,
6,,,,,32.0,
7,,,,,,27.0
8,,,,,,11.0
9,,,,,14.0,
10,,,,,,31.0
11,,,,,22.0,
12,,,,,22.0,
13,17.0,,,,,
14,,,,,,41.0
15,,,,,26.0,
16,,,,,16.0,
17,,,,,24.0,
18,,,,,12.0,
19,,,,,,9.0
20,,,,,26.0,
21,,,,,,15.0
22,,,,,,17.0
23,,,,,,11.0
24,,,,,,15.0
25,,,,,,27.0
26,,,,,,13.0
27,,,,,,15.0
28,,,,,26.0,
29,,,,,18.0,
30,,38.0,,,,
31,,,,,,15.0
32,,,,,22.0,
33,,,,,18.0,
34,,,,,16.0,
35,,,,,22.0,
36,,,,,22.0,
37,,,,,,11.0
38,,,,,10.0,
39,,,,,14.0,
40,,,,,,43.0
41,,,,,20.0,
42,,,,,20.0,
43,,,,,,15.0
44,,,,,18.0,
45,,,,,20.0,
46,,,,,,9.0
47,,18.0,,,,
48,,,,,,19.0
49,,,,,,43.0
