,ZERO_v2_started_ZERO_v2_won,ZEROX_v2_started_ZERO_v2_won,ZERO_v2_started_Tie,ZEROX_v2_started_Tie,ZERO_v2_started_ZEROX_v2_won,ZEROX_v2_started_ZEROX_v2_won
0,,,,,12.0,
1,,,,,18.0,
2,,30.0,,,,
3,25.0,,,,,
4,,,,,26.0,
5,19.0,,,,,
6,,,,,,27.0
7,,28.0,,,,
8,,24.0,,,,
9,,,,,24.0,
10,11.0,,,,,
11,,,,,26.0,
12,,,,,26.0,
13,,12.0,,,,
14,,,,,16.0,
15,,22.0,,,,
16,,,,,12.0,
17,,,,,,19.0
18,,,,,18.0,
19,,,,,10.0,
20,15.0,,,,,
21,,,,,,25.0
22,,,,,16.0,
23,,34.0,,,,
24,41.0,,,,,
25,,,,,,15.0
26,,,,,14.0,
27,,,,,20.0,
28,,,,,24.0,
29,,,,,22.0,
30,,,,,10.0,
31,,,,,,13.0
32,,,,64.0,,
33,,14.0,,,,
34,,24.0,,,,
35,,28.0,,,,
36,,,,,,13.0
37,,12.0,,,,
38,21.0,,,,,
39,,20.0,,,,
40,11.0,,,,,
41,13.0,,,,,
42,,,,,,19.0
43,,,,,38.0,
44,,,,,,23.0
45,,,,,10.0,
46,23.0,,,,,
47,,,,,26.0,
48,,16.0,,,,
49,,,,,30.0,
