,ZEROX_v3_started_ZEROX_v3_won,UCT_6000_started_ZEROX_v3_won,ZEROX_v3_started_Tie,UCT_6000_started_Tie,ZEROX_v3_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,42.0,
1,,18.0,,,,
2,,,,,,29.0
3,,,,,,23.0
4,9.0,,,,,
5,17.0,,,,,
6,,,,,,31.0
7,,,,,,25.0
8,,12.0,,,,
9,,,,,,21.0
10,,,,,24.0,
11,,,,,42.0,
12,9.0,,,,,
13,,,,,,25.0
14,,,,,20.0,
15,,,,,,29.0
16,,,,,24.0,
17,11.0,,,,,
18,15.0,,,,,
19,,,64.0,,,
20,,22.0,,,,
21,,,,,,25.0
22,,16.0,,,,
23,,,64.0,,,
24,,,,,,19.0
25,,,,,,25.0
26,,,,,,19.0
27,9.0,,,,,
28,,14.0,,,,
29,9.0,,,,,
30,,,,,,15.0
31,,,,,26.0,
32,,10.0,,,,
33,,,,,24.0,
34,,,,,,23.0
35,,,,,,31.0
36,,14.0,,,,
37,,,,,,25.0
38,,,64.0,,,
39,,,,,,15.0
40,,10.0,,,,
41,,16.0,,,,
42,,,,,,37.0
43,,10.0,,,,
44,15.0,,,,,
45,13.0,,,,,
46,,,,,20.0,
47,,,,,38.0,
48,,,,,,25.0
49,,,,,,19.0
