,FLAT_v1_started_FLAT_v1_won,FLAT_v4_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v4_started_Tie,FLAT_v1_started_FLAT_v4_won,FLAT_v4_started_FLAT_v4_won
0,,,,,14.0,
1,,,,,,13.0
2,,,,,10.0,
3,,,,,,9.0
4,13.0,,,,,
5,13.0,,,,,
6,,,,,,11.0
7,,,,,,11.0
8,13.0,,,,,
9,,12.0,,,,
10,,,,,10.0,
11,,,,,,9.0
12,,,,,,11.0
13,,,,,,9.0
14,13.0,,,,,
15,,,,,14.0,
16,,,,,14.0,
17,,,,,,11.0
18,,,,,,9.0
19,,,,,12.0,
20,,,,,,11.0
21,,,,,,9.0
22,,,,,,13.0
23,,,,,14.0,
24,,,,,16.0,
25,,,,,,11.0
26,,,,,,13.0
27,,,,,14.0,
28,,,,,12.0,
29,,,,,14.0,
30,,,,,,9.0
31,,,,,,13.0
32,,,,,12.0,
33,,,,,,9.0
34,,,,,,11.0
35,,,,,12.0,
36,11.0,,,,,
37,,14.0,,,,
38,,,,,10.0,
39,15.0,,,,,
40,,,,,10.0,
41,,,,,,11.0
42,,,,,12.0,
43,,,,,,9.0
44,,,,,,11.0
45,,,,,10.0,
46,,,,,12.0,
47,,,,,,11.0
48,,,,,,11.0
49,,,,,,11.0
