,FLAT_v4_started_FLAT_v4_won,ZERO_v4_started_FLAT_v4_won,FLAT_v4_started_Tie,ZERO_v4_started_Tie,FLAT_v4_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,,,,,,17.0
1,,,,,24.0,
2,,,,,12.0,
3,,,,,,15.0
4,,,,,,17.0
5,,,,,12.0,
6,,,,,14.0,
7,,,,,,25.0
8,,,,,,15.0
9,,,,,18.0,
10,,,,,16.0,
11,,,,,,21.0
12,,,,,,29.0
13,,,,,,33.0
14,,,,,14.0,
15,,,,,12.0,
16,,,,,,33.0
17,,12.0,,,,
18,,,,,,21.0
19,,,,,18.0,
20,,,,,16.0,
21,,,,,,17.0
22,,,,,,33.0
23,,,,,,19.0
24,,,,,,11.0
25,,,,,,11.0
26,,,,,14.0,
27,,,,,30.0,
28,,,,,,15.0
29,,,,,24.0,
30,,,,,,15.0
31,,,,,,27.0
32,,,,,,17.0
33,,,,,,17.0
34,,,,,,49.0
35,,,,,,19.0
36,,,,,14.0,
37,,,,,44.0,
38,,,,,,13.0
39,,,,,,13.0
40,,,,,,25.0
41,,,,,,13.0
42,,,,,14.0,
43,,,,,,15.0
44,,,,,,17.0
45,,,,,28.0,
46,,,,,18.0,
47,,,,,28.0,
48,,,,,,17.0
49,,,,,,13.0
