,ZERO_v3_started_ZERO_v3_won,ZEROX_v3_started_ZERO_v3_won,ZERO_v3_started_Tie,ZEROX_v3_started_Tie,ZERO_v3_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,11.0,,,,,
1,,,,,,37.0
2,,,,,,29.0
3,,18.0,,,,
4,,,,,,11.0
5,,,,,,13.0
6,17.0,,,,,
7,29.0,,,,,
8,11.0,,,,,
9,31.0,,,,,
10,,,,,,47.0
11,11.0,,,,,
12,,,,,,17.0
13,,,,,30.0,
14,19.0,,,,,
15,,,,,,13.0
16,,,,,,13.0
17,,,,,,13.0
18,,,,,,33.0
19,13.0,,,,,
20,,,,,,11.0
21,13.0,,,,,
22,,,,,,15.0
23,,,,,,29.0
24,13.0,,,,,
25,,,,64.0,,
26,13.0,,,,,
27,,26.0,,,,
28,21.0,,,,,
29,,28.0,,,,
30,,,,,,11.0
31,,,,,,11.0
32,17.0,,,,,
33,,,,,,17.0
34,,,,,,23.0
35,,24.0,,,,
36,,,,,,11.0
37,,,,,,15.0
38,,,,,,13.0
39,37.0,,,,,
40,,22.0,,,,
41,,,,,,23.0
42,,24.0,,,,
43,31.0,,,,,
44,,,,,40.0,
45,,,,,,15.0
46,15.0,,,,,
47,,10.0,,,,
48,,,,,,15.0
49,,,,,,13.0
